condition,held-out q_bcar,predicted,rel. err %,baseline
2D01,151.310101,141.5867404660319,-6.426114627977203,269.0075032
2D025,184.228136,244.09783461398564,32.49758691255804,262.42389619999994
3D01,227.107407,198.6484137601944,-12.531072242749701,253.84804200000002
3D025,294.77945600000004,257.26813265906947,-12.725216285401714,240.31363219999997
4D01,185.290321,246.49909381843437,33.03398282656889,262.2114592
4D025,453.632196,420.6728151965292,-7.265661717597935,208.54308420000004
