channel,well_channels,plates,k_steps,band_low,band_high,median_mean_nis,aggregate_mean_nis,aggregation,aggregation_population,aggregated_well_channels,fraction_in_band,median_lag1_autocorr,white_bound,fraction_white,autocorrelation_testable_well_channels,median_coverage,nominal_coverage,tested_well_channels,median_min_ess,median_min_unique_particles,median_min_unique_ancestors,resampled_steps,verdict
od,319,4,22.0,0.49919639702153074,1.6718505492743434,45.3120629122947,45.3120629122947,well_median,all,319,0.09717868338557993,0.7497646493884896,0.42640143271122083,0.13166144200626959,319,0.22727272727272727,0.95,0,1.0289307455293728,3.0,1.0,7177,INCONCLUSIVE
rfu,319,4,22.0,0.49919639702153074,1.6718505492743434,19.318196693622554,19.318196693622554,well_median,all,319,0.09717868338557993,0.8196600938083425,0.42640143271122083,0.08150470219435736,319,0.45454545454545453,0.95,0,1.0289307455293728,3.0,1.0,7177,INCONCLUSIVE
