model,parameters,loo_skill,score_status,failure_reason,inference_status,inference_reason,validation,baseline,n_states,n_carbon_sources
constant only,1,2.220446049250313e-16,ok,,pending_exchangeability,The condition-summary TSV lacks cultivation/biological-replicate identifiers and a justified randomization or exchangeability scheme; carbon-source labels do not establish independent units. No candidate null or p-value is issued.,leave_one_state_out_descriptive,fold_training_mean_log_flux,11,3
log(mu),2,-0.04850533728327311,ok,,pending_exchangeability,The condition-summary TSV lacks cultivation/biological-replicate identifiers and a justified randomization or exchangeability scheme; carbon-source labels do not establish independent units. No candidate null or p-value is issued.,leave_one_state_out_descriptive,fold_training_mean_log_flux,11,3
carbon source,3,-0.036370331182568716,ok,,pending_exchangeability,The condition-summary TSV lacks cultivation/biological-replicate identifiers and a justified randomization or exchangeability scheme; carbon-source labels do not establish independent units. No candidate null or p-value is issued.,leave_one_state_out_descriptive,fold_training_mean_log_flux,11,3
carbon source + log(mu),4,-0.05611660827081266,ok,,pending_exchangeability,The condition-summary TSV lacks cultivation/biological-replicate identifiers and a justified randomization or exchangeability scheme; carbon-source labels do not establish independent units. No candidate null or p-value is issued.,leave_one_state_out_descriptive,fold_training_mean_log_flux,11,3
