plate,low_channel,high_channel,gain_low,gain_high,is_afl_plate,status,plate_ratio,plate_offset,plate_scatter,plate_linear_max_rfu,plate_saturation_observed,plate_n_pairs,plate_n_overflow,bin_low_rfu,bin_high_rfu,n_pairs,departure_median,departure_p05,departure_p95,high_max_rfu
20260707_oxidative_stress_preliminary,"mCitrine:480,530","mCitrine:480,530[2]",50,75,False,scored,18.90206099274407,132.64863500092594,0.022151983110051676,12038.0,False,96,0,10000.0,20000.0,3,0.9981882757236472,0.9753185865718057,1.0009283065756713,12038.0
20260707_oxidative_stress_preliminary,"mCitrine:480,530","mCitrine:480,530[2]",50,75,False,scored,18.90206099274407,132.64863500092594,0.022151983110051676,12038.0,False,96,0,20000.0,30000.0,0,,,,
20260707_oxidative_stress_preliminary,"mCitrine:480,530","mCitrine:480,530[2]",50,75,False,scored,18.90206099274407,132.64863500092594,0.022151983110051676,12038.0,False,96,0,30000.0,40000.0,0,,,,
20260707_oxidative_stress_preliminary,"mCitrine:480,530","mCitrine:480,530[2]",50,75,False,scored,18.90206099274407,132.64863500092594,0.022151983110051676,12038.0,False,96,0,40000.0,50000.0,0,,,,
20260707_oxidative_stress_preliminary,"mCitrine:480,530","mCitrine:480,530[2]",50,75,False,scored,18.90206099274407,132.64863500092594,0.022151983110051676,12038.0,False,96,0,50000.0,60000.0,0,,,,
20260707_oxidative_stress_preliminary,"mCitrine:480,530","mCitrine:480,530[2]",50,75,False,scored,18.90206099274407,132.64863500092594,0.022151983110051676,12038.0,False,96,0,60000.0,70000.0,0,,,,
20260707_oxidative_stress_preliminary,"mCitrine:480,530","mCitrine:480,530[2]",50,75,False,scored,18.90206099274407,132.64863500092594,0.022151983110051676,12038.0,False,96,0,70000.0,80000.0,0,,,,
20260707_oxidative_stress_preliminary,"mCitrine:480,530","mCitrine:480,530[2]",50,75,False,scored,18.90206099274407,132.64863500092594,0.022151983110051676,12038.0,False,96,0,80000.0,90000.0,0,,,,
20260707_oxidative_stress_preliminary,"mCitrine:480,530","mCitrine:480,530[2]",50,75,False,scored,18.90206099274407,132.64863500092594,0.022151983110051676,12038.0,False,96,0,90000.0,95000.0,0,,,,
20260707_oxidative_stress_preliminary,"mCitrine:480,530","mCitrine:480,530[2]",50,75,False,scored,18.90206099274407,132.64863500092594,0.022151983110051676,12038.0,False,96,0,95000.0,98000.0,0,,,,
20260707_oxidative_stress_preliminary,"mCitrine:480,530","mCitrine:480,530[2]",50,75,False,scored,18.90206099274407,132.64863500092594,0.022151983110051676,12038.0,False,96,0,98000.0,100000.0,0,,,,
20260707_oxidative_stress_preliminary,"mCitrine:480,530","mCitrine:480,530[2]",50,75,False,scored,18.90206099274407,132.64863500092594,0.022151983110051676,12038.0,False,96,0,100000.0,inf,0,,,,
20260707_oxidative_stress_preliminary,"mCitrine:480,530[2]","mCitrine:480,530[3]",75,100,False,scored,8.07881187949817,4.144525566276853,0.013427907719477217,38015.0,False,96,0,0.0,500.0,3,0.9695723072424747,0.9109346875127359,1.0269761855632014,427.0
20260707_oxidative_stress_preliminary,"mCitrine:480,530[2]","mCitrine:480,530[3]",75,100,False,scored,8.07881187949817,4.144525566276853,0.013427907719477217,38015.0,False,96,0,500.0,1000.0,0,,,,
