construct,stressor,dose_mM,autofluorescence_fraction,fold,low,high,estimable,n_plates,verdict
NativeYap1,H2O2,1.0,0.1,1.2406577707402213,0.6634737564721395,2.1827221057268043,True,4,INCONCLUSIVE
NativeYap1,H2O2,2.0,0.1,0.003751304070804808,,,False,4,INCONCLUSIVE
NativeYap1,H2O2,4.0,0.1,,,,False,4,INCONCLUSIVE
UPRE1,DTT,0.1,0.1,1.0540543965321292,0.9864791619760742,1.1334689816016286,True,4,INCONCLUSIVE
UPRE1,DTT,0.2,0.1,1.1644212460056893,1.1030411769797006,1.224807833876757,True,4,DIFFERENT
UPRE1,DTT,0.5,0.1,1.3742869854671393,1.2275600387038772,1.592976179395778,True,4,DIFFERENT
UPRE1,DTT,1.0,0.1,1.4827463469302993,1.2450726506852456,1.741548053944288,True,4,DIFFERENT
UPRE1,DTT,2.0,0.1,1.1051786223493705,0.9522734319113267,1.2753004260213148,True,4,INCONCLUSIVE
UPRE1,DTT,5.0,0.1,0.9715906524792728,0.8118512389988515,1.1584913211728503,True,4,INCONCLUSIVE
UPRE2,DTT,0.1,0.1,1.0723415567513486,0.984580063212131,1.1639755624145358,True,4,INCONCLUSIVE
UPRE2,DTT,0.2,0.1,1.1819959898316863,1.0760478417411128,1.2697204719281159,True,4,DIFFERENT
UPRE2,DTT,0.5,0.1,1.43864330499922,1.1540145669428332,1.668959906287667,True,4,DIFFERENT
UPRE2,DTT,1.0,0.1,1.605518974567295,1.3367795661046291,1.886702662738684,True,4,DIFFERENT
UPRE2,DTT,2.0,0.1,1.1535062663997377,0.9821527822127766,1.4563606632895232,True,4,INCONCLUSIVE
UPRE2,DTT,5.0,0.1,1.1099126266322334,0.9651258819222711,1.2981400792122322,True,4,INCONCLUSIVE
AlteredYap1,H2O2,0.1,0.2,1.0155711128927198,0.9376724827658425,1.1067570023729976,True,4,INCONCLUSIVE
AlteredYap1,H2O2,0.2,0.2,1.078502484673433,0.9857467758713483,1.1956509624037706,True,4,INCONCLUSIVE
AlteredYap1,H2O2,0.5,0.2,1.4119116823573106,1.098686995772777,1.7693067535867104,True,4,DIFFERENT
AlteredYap1,H2O2,1.0,0.2,1.0616490670220722,,,False,4,INCONCLUSIVE
AlteredYap1,H2O2,2.0,0.2,,,,False,4,INCONCLUSIVE
AlteredYap1,H2O2,4.0,0.2,,,,False,4,INCONCLUSIVE
NativeYap1,H2O2,0.1,0.2,0.9157391776865305,0.7134807613111638,1.088939633808371,True,4,INCONCLUSIVE
NativeYap1,H2O2,0.2,0.2,1.0347960128059217,0.7778795126395089,1.2981289148597324,True,4,INCONCLUSIVE
NativeYap1,H2O2,0.5,0.2,1.4181779077326162,1.0258778398658241,1.952940752460933,True,4,DIFFERENT
NativeYap1,H2O2,1.0,0.2,1.3064170863322238,0.6869463129113947,2.328916039107555,True,4,INCONCLUSIVE
NativeYap1,H2O2,2.0,0.2,,,,False,4,INCONCLUSIVE
NativeYap1,H2O2,4.0,0.2,0.0026731032882678953,,,False,4,INCONCLUSIVE
UPRE1,DTT,0.1,0.2,1.0594466980004258,0.9859079412575306,1.1457492244382468,True,4,INCONCLUSIVE
UPRE1,DTT,0.2,0.2,1.1765405664465483,1.111527306373759,1.2427038575565261,True,4,DIFFERENT
UPRE1,DTT,0.5,0.2,1.3971192554209237,1.24431005216461,1.6179704078314396,True,4,DIFFERENT
UPRE1,DTT,1.0,0.2,1.5308291539076442,1.2687457458096507,1.8167508763084481,True,4,DIFFERENT
UPRE1,DTT,2.0,0.2,1.1580361388492422,0.9813607126693571,1.354193141927492,True,4,INCONCLUSIVE
UPRE1,DTT,5.0,0.2,1.014118082879659,0.8293519315294343,1.2352899352909412,True,4,INCONCLUSIVE
UPRE2,DTT,0.1,0.2,1.0779948440639846,0.9846889060514364,1.175694714236666,True,4,INCONCLUSIVE
UPRE2,DTT,0.2,0.2,1.1947098240702865,1.0829749615661217,1.2877221852964962,True,4,DIFFERENT
UPRE2,DTT,0.5,0.2,1.4643399153879797,1.1699991699669292,1.7067252786159541,True,4,DIFFERENT
UPRE2,DTT,1.0,0.2,1.654936022093436,1.3772356565451938,1.9488727381786561,True,4,DIFFERENT
UPRE2,DTT,2.0,0.2,1.2078482413266065,1.0161612646973015,1.5346800591069483,True,4,DIFFERENT
UPRE2,DTT,5.0,0.2,1.163069252929554,0.9983370451779805,1.377649429467007,True,4,INCONCLUSIVE
AlteredYap1,H2O2,0.1,0.3,1.0159304122838728,0.9369915138859877,1.10916603192148,True,4,INCONCLUSIVE
AlteredYap1,H2O2,0.2,0.3,1.083001832602047,0.98309126949758,1.210163536297337,True,4,INCONCLUSIVE
AlteredYap1,H2O2,0.5,0.3,1.4371032619247002,1.115941721615894,1.8115154344604636,True,4,DIFFERENT
AlteredYap1,H2O2,1.0,0.3,1.0978112797972324,,,False,4,INCONCLUSIVE
AlteredYap1,H2O2,2.0,0.3,,,,False,4,INCONCLUSIVE
AlteredYap1,H2O2,4.0,0.3,,,,False,4,INCONCLUSIVE
NativeYap1,H2O2,0.1,0.3,0.9142613482047324,0.7006322714956835,1.0969816406595618,True,4,INCONCLUSIVE
