dataset,split_kind,seed,assignment,n_groups,n_rows,n_strata,group_key,within,axis,partition_hash
simulated_panel,heldout_combination,1,test,1,15,1,stressor,,stressor,4974190efd4b1d65e5e66d59548acb63e0bad41cebd2634564ca663aad81a582
simulated_panel,heldout_combination,1,train,25,375,1,stressor,,stressor,4974190efd4b1d65e5e66d59548acb63e0bad41cebd2634564ca663aad81a582
simulated_panel,heldout_combination,2,test,1,15,1,stressor,,stressor,4974190efd4b1d65e5e66d59548acb63e0bad41cebd2634564ca663aad81a582
simulated_panel,heldout_combination,2,train,25,375,1,stressor,,stressor,4974190efd4b1d65e5e66d59548acb63e0bad41cebd2634564ca663aad81a582
simulated_panel,heldout_stressor,0,test,2,30,1,stressor,,stressor,bb5e875c8ad6ce747eebfaa0930a13c2ae16286112471ad4cfc84f868d543d67
simulated_panel,heldout_stressor,0,train,23,345,1,stressor,,stressor,bb5e875c8ad6ce747eebfaa0930a13c2ae16286112471ad4cfc84f868d543d67
simulated_panel,heldout_stressor,0,validation,1,15,1,stressor,,stressor,bb5e875c8ad6ce747eebfaa0930a13c2ae16286112471ad4cfc84f868d543d67
simulated_panel,heldout_stressor,1,test,1,15,1,stressor,,stressor,f1f86a1b430fd60670fcf05c6b1b7d8f518f67ec20db9fe952fb8381281bf7df
simulated_panel,heldout_stressor,1,train,23,345,1,stressor,,stressor,f1f86a1b430fd60670fcf05c6b1b7d8f518f67ec20db9fe952fb8381281bf7df
simulated_panel,heldout_stressor,1,validation,2,30,1,stressor,,stressor,f1f86a1b430fd60670fcf05c6b1b7d8f518f67ec20db9fe952fb8381281bf7df
simulated_panel,heldout_stressor,2,test,1,15,1,stressor,,stressor,0f83a7f75db4dd6e6af4c3fd79cc185bc6d5b2540a69ab361b502da8abc59872
simulated_panel,heldout_stressor,2,train,24,360,1,stressor,,stressor,0f83a7f75db4dd6e6af4c3fd79cc185bc6d5b2540a69ab361b502da8abc59872
simulated_panel,heldout_stressor,2,validation,1,15,1,stressor,,stressor,0f83a7f75db4dd6e6af4c3fd79cc185bc6d5b2540a69ab361b502da8abc59872
simulated_panel,interpolation,0,test,26,78,26,stressor|dose_mM,stressor,dose_mM,e82a651624efc2b1612985060ebd2f0a4e9a412400874caf4065fb09e994a423
simulated_panel,interpolation,0,train,104,312,26,stressor|dose_mM,stressor,dose_mM,e82a651624efc2b1612985060ebd2f0a4e9a412400874caf4065fb09e994a423
simulated_panel,interpolation,1,test,26,78,26,stressor|dose_mM,stressor,dose_mM,ecbc7cf8b22bfce4014ecb5c983bddcf5af786218989ae3cd8e21862629d3b97
simulated_panel,interpolation,1,train,104,312,26,stressor|dose_mM,stressor,dose_mM,ecbc7cf8b22bfce4014ecb5c983bddcf5af786218989ae3cd8e21862629d3b97
simulated_panel,interpolation,2,test,26,78,26,stressor|dose_mM,stressor,dose_mM,cf4c314897ac931ee67ea345f571946ce9d64ba4acfb71832737d4511459d668
simulated_panel,interpolation,2,train,104,312,26,stressor|dose_mM,stressor,dose_mM,cf4c314897ac931ee67ea345f571946ce9d64ba4acfb71832737d4511459d668
