scale,solver_status,max_growth,growth_ratio,ceiling,ceiling_ratio,floor,relative_width
1.0,optimal,0.3459844408121986,0.9999994219892832,0.05939750926494557,0.9999787664982691,0.0,1.0
0.5,optimal,0.17299222040609752,0.49999971099463647,0.19492472992731055,3.2816290347002126,0.0,1.0
0.2,optimal,0.06919688816243923,0.1999998843978552,0.2663742082853057,4.484507103487164,0.0,1.0
0.1,optimal,0.03459844408121951,0.0999999421989273,0.2897101964608417,4.8773769891031,0.0,1.0
0.05,optimal,0.017299222040609755,0.04999997109946365,0.2973235908323579,5.0055512645349935,-6.081319902952019e-17,1.0000000000000002
0.02,optimal,0.005347529312137012,0.01545597313178142,0.001457933801143348,0.024544848128233952,0.0,1.0
0.01,infeasible,,,,,,
0.0,infeasible,,,,,,
