n_strains,permutation_floor,permutation_method,permutations_per_trial,p_value_resolution,power,median_skill,verdict
3,0.16666666666666666,exact,6,0.16666666666666666,0.0,,UNREACHABLE: exact resolution 0.166667 > 0.05
4,0.041666666666666664,exact,24,0.041666666666666664,0.435,0.5697520136372249,
5,0.008333333333333333,exact,120,0.008333333333333333,0.68,0.5458019885223082,
6,0.001388888888888889,exact,720,0.001388888888888889,0.895,0.569675605659905,
7,0.00019841269841269833,monte_carlo_with_replacement,720,0.0013869625520110957,0.96,0.5738162756550571,
8,2.4801587301587285e-05,monte_carlo_with_replacement,720,0.0013869625520110957,0.985,0.58176612800051,
