well,passed,failures,max_raw_od,min_od_above_blank,decline_fraction,od_fold_change,max_reporter_above_background
A1,True,,0.5762,0.11815066666666665,0.0,3.5942725370283837,2549.6966666666663
A2,True,,0.5844,0.11525066666666667,0.041666666666666664,3.7387596576355198,2405.5299999999997
A3,True,,0.5636,0.10715066666666667,0.0,3.9192486444616574,2482.863333333333
A4,True,,0.5375,0.10155066666666665,0.08333333333333333,3.8647754587210543,2135.2799999999997
A5,True,,0.566,0.09965066666666667,0.041666666666666664,4.1478463050408685,2143.7799999999997
A6,True,,0.5042,0.08795066666666665,0.0,4.05122238307199,2055.113333333333
A7,True,,0.5591,0.10695066666666667,0.08333333333333333,3.7891737259945897,1020.4466666666666
A8,True,,0.5248,0.12115066666666666,0.0,3.2204249499938764,1022.4466666666666
A9,True,,0.5559,0.10635066666666665,0.041666666666666664,3.592107217895117,988.6133333333333
A10,True,,0.5296,0.09525066666666665,0.0,4.203746793939553,1049.3633333333332
A11,True,,0.5086,0.08985066666666666,0.0,4.12952292525738,1023.7799999999999
A12,False,sustained_decline,0.5485,0.08735066666666666,0.16666666666666666,4.099486120449524,1011.6966666666666
B1,True,,0.5861,0.11035066666666665,0.08333333333333333,3.8598650173518703,2631.613333333333
B2,True,,0.5923,0.11205066666666666,0.041666666666666664,3.959109892837486,2756.5299999999997
B3,True,,0.5519,0.10715066666666667,0.125,3.3004685592786545,2592.613333333333
B4,True,,0.5524,0.10655066666666665,0.125,3.7288478198094137,2359.613333333333
B5,True,,0.5056,0.09635066666666667,0.041666666666666664,3.678538768244059,2200.1966666666663
B6,True,,0.5561,0.11065066666666665,0.08333333333333333,3.0486229939300062,2458.7799999999997
B7,True,,0.5446,0.10505066666666665,0.08333333333333333,3.795506985180168,1263.1133333333332
B8,True,,0.5096,0.10575066666666666,0.08333333333333333,2.0616871907008867,1207.8633333333332
B9,False,sustained_decline,0.5716,0.11765066666666665,0.16666666666666666,2.571540955643946,1275.8633333333332
B10,False,sustained_decline,0.5161,0.09565066666666666,0.16666666666666666,3.956839832995101,1229.7799999999997
B11,True,,0.4996,0.08645066666666665,0.041666666666666664,3.4663295713179574,1150.1966666666667
B12,True,,0.525,0.08205066666666666,0.08333333333333333,4.353009483259144,1173.1133333333332
C1,True,,0.5848,0.11245066666666667,0.08333333333333333,3.8821229532984836,2882.613333333333
C2,True,,0.5675,0.10565066666666667,0.08333333333333333,4.011645721262943,2714.4466666666663
C3,True,,0.6139,0.12475066666666665,0.041666666666666664,3.731979368778214,3014.6966666666663
C4,True,,0.5516,0.10035066666666667,0.041666666666666664,4.03461967539556,2453.9466666666663
C5,True,,0.5719,0.10485066666666665,0.0,4.022837298621254,2522.2799999999997
C6,True,,0.5537,0.10595066666666667,0.08333333333333333,3.8647783166115675,2571.113333333333
C7,False,sustained_decline,0.5082,0.10565066666666667,0.16666666666666666,2.0352309751382336,1411.8633333333332
C8,True,,0.5418,0.10545066666666666,0.08333333333333333,3.345657659124207,1356.6966666666667
C9,True,,0.5273,0.10095066666666666,0.125,2.635962228579933,1280.4466666666667
C10,True,,0.4619,0.08145066666666667,0.125,3.969337275117734,1162.6133333333332
C11,True,,0.5414,0.09405066666666667,0.125,3.3529744227389964,1301.7799999999997
C12,True,,0.5075,0.08935066666666666,0.0,4.115778927576411,1262.4466666666667
D1,True,,0.5577,0.10195066666666666,0.125,4.03273197109633,3355.5299999999993
D2,True,,0.5555,0.11005066666666666,0.08333333333333333,3.5252710034182497,3498.2799999999993
D3,True,,0.5794,0.11865066666666665,0.08333333333333333,3.6011296450557713,3712.9466666666663
D4,True,,0.5882,0.10775066666666666,0.08333333333333333,4.054161813457576,3252.0299999999993
D5,True,,0.5654,0.11325066666666667,0.041666666666666664,3.695813712360133,3322.363333333333
D6,True,,0.5835,0.11535066666666666,0.041666666666666664,3.7068757914841495,3491.6966666666663
D7,False,sustained_decline,0.5105,0.12255066666666667,0.25,2.8995244610718287,1610.8633333333332
D8,True,,0.4517,0.10935066666666665,0.041666666666666664,2.907123077962134,1568.5299999999997
D9,False,sustained_decline,0.51,0.11145066666666667,0.2916666666666667,3.287574559199458,1453.9466666666667
D10,False,sustained_decline,0.3788,0.08095066666666667,0.25,3.0265190601138015,1193.3633333333332
D11,False,sustained_decline,0.4064,0.07845066666666667,0.2916666666666667,3.2123457485772247,1156.3633333333332
D12,False,sustained_decline,0.4594,0.09915066666666666,0.25,3.360532574909077,1398.7799999999997
E1,True,,0.5182,0.11515066666666665,0.125,3.25497455364592,3874.5299999999993
E2,True,,0.4705,0.09795066666666666,0.08333333333333333,2.7926785139916377,3462.9466666666663
E3,True,,0.513,0.10685066666666665,0.041666666666666664,3.5906358489247183,3713.2799999999997
E4,True,,0.5065,0.11165066666666665,0.08333333333333333,3.264062297489956,3555.863333333333
E5,True,,0.5147,0.10155066666666665,0.0,3.5601241272304116,3474.613333333333
E6,True,,0.5173,0.10895066666666667,0.041666666666666664,3.3765731937607106,3727.0299999999993
E7,False,sustained_decline,0.328,0.09885066666666667,0.3333333333333333,2.135128201996018,468.1966666666666
E8,False,sustained_decline,0.3475,0.11635066666666666,0.375,1.6186508269666697,403.1966666666666
E9,False,sustained_decline,0.2872,0.09855066666666665,0.3333333333333333,1.7293082168725769,462.03
E10,False,sustained_decline,0.3035,0.08455066666666666,0.375,2.305379746835443,312.6966666666666
E11,False,sustained_decline,0.2934,0.09265066666666666,0.3333333333333333,1.752924075910505,217.77999999999997
E12,False,sustained_decline,0.2874,0.08585066666666666,0.2916666666666667,1.4159024474121624,288.1966666666666
F1,True,,0.4166,0.11795066666666665,0.0,2.382226896538167,3114.9466666666663
