n_plates,n_wells_per_dose,true_fold,plate_log_sd,plate_fold_log_sd,well_log_sd,n_trials,n_issued,n_covered,n_refused,nominal_coverage,actual_coverage,coverage_mc_low,coverage_mc_high,issued_and_covered_fraction,n_resamples,interval_target,method,coverage_scope
3,6,1.35,0.2,0.0,0.08,100,100,100,0,0.95,1.0,0.9630065017930143,1.0,1.0,1000,population geometric mean of within-plate dose/control ratios,two-stage cluster/well percentile bootstrap with approximate t inflation,"simulation under independent lognormal plate, plate-by-dose and well effects; not real-data calibration"
3,6,1.35,0.2,0.15,0.08,100,100,96,0,0.95,0.96,0.9016292856411208,0.9843366960084523,0.96,1000,population geometric mean of within-plate dose/control ratios,two-stage cluster/well percentile bootstrap with approximate t inflation,"simulation under independent lognormal plate, plate-by-dose and well effects; not real-data calibration"
6,6,1.35,0.2,0.0,0.08,100,100,99,0,0.95,0.99,0.9455138038212946,0.9982325679358593,0.99,1000,population geometric mean of within-plate dose/control ratios,two-stage cluster/well percentile bootstrap with approximate t inflation,"simulation under independent lognormal plate, plate-by-dose and well effects; not real-data calibration"
6,6,1.35,0.2,0.15,0.08,100,100,95,0,0.95,0.95,0.8882495307680808,0.9784563208456319,0.95,1000,population geometric mean of within-plate dose/control ratios,two-stage cluster/well percentile bootstrap with approximate t inflation,"simulation under independent lognormal plate, plate-by-dose and well effects; not real-data calibration"
12,6,1.35,0.2,0.0,0.08,100,100,100,0,0.95,1.0,0.9630065017930143,1.0,1.0,1000,population geometric mean of within-plate dose/control ratios,two-stage cluster/well percentile bootstrap with approximate t inflation,"simulation under independent lognormal plate, plate-by-dose and well effects; not real-data calibration"
12,6,1.35,0.2,0.15,0.08,100,100,97,0,0.95,0.97,0.9154806357094724,0.9897454759759611,0.97,1000,population geometric mean of within-plate dose/control ratios,two-stage cluster/well percentile bootstrap with approximate t inflation,"simulation under independent lognormal plate, plate-by-dose and well effects; not real-data calibration"
