gene,kind,n_independent_strains,n_condition_predictions,alpha,loso_rmse_log,loso_skill,typical_fold_error,status,failure_reason
CrtE,heterologous,3,6,0.0010084737827086693,0.20023464849501554,0.7446797787533761,1.221689392106977,ok,
CrtYB,heterologous,3,6,0.0009851551978507637,0.22922272768580335,0.7077169311736236,1.257622115081641,ok,
CrtI,heterologous,3,6,0.0008919950741090679,0.5028515371571981,0.35881144104599516,1.6534293701353993,ok,
ERG9,native,3,6,0.0007652790036731317,0.7818623848537802,0.0030432865356496697,2.185538791947652,ok,
MVD1,native,3,6,0.000668323080655627,0.7864929170914854,-0.0028611287306719024,2.1956824669626984,ok,
IDI1,native,3,6,0.00042070325792767865,0.7866079557271197,-0.0030078150815249227,2.195935069807249,ok,
ERG8,native,3,6,0.0006632855166411711,0.8042933933014779,-0.025558606706586273,2.2351165923433456,ok,
HMG1,native,3,6,0.0006877309090312952,0.814702779673524,-0.03883166834466012,2.2585042991966153,ok,
BTS1,native,3,6,0.0004877227801867067,0.8220930414286275,-0.04825502878984533,2.275257064555962,ok,
ERG10,native,3,6,0.0007648277748699904,0.828109695694802,-0.055926895322186976,2.2889877646967887,ok,
ERG13,native,3,6,0.0006848123314175161,0.8431835492329264,-0.07514764282677744,2.323752995732584,ok,
ERG12,native,3,6,0.0006340663372110303,0.885277016114783,-0.12882123707278326,2.4236556901838453,ok,
ERG20,native,3,6,0.000645428412687494,0.9171033075822882,-0.16940310359797284,2.502032264843033,ok,
HMG2,native,3,6,0.0006374983553088498,0.9946380240031094,-0.2682680158379296,2.7037454731637727,ok,
