construct,stressor,dose_mM,n_replicates,od600,viability,viability_min,raw_fold,per_cell_fold,per_cell_fold_half_sd,culture_healthy
AlteredYap1,DTT,0.0,3,0.41111111111111115,1.0,1.0,1.0,1.0,0.0,True
AlteredYap1,DTT,0.1,3,0.4082222222222222,0.9950631897235631,0.945578231292517,1.0286927094678184,1.035600064855122,0.02361286190686342,True
AlteredYap1,DTT,0.2,3,0.4216666666666667,1.0302658362767068,0.9153439153439153,1.0901851868611467,1.0618517104073595,0.027305294053356133,True
AlteredYap1,DTT,0.5,3,0.42322222222222217,1.0306737789966356,0.9727891156462585,1.1368571850137537,1.1070830447651783,0.04000665173277015,True
AlteredYap1,DTT,1.0,3,0.38466666666666666,0.928354556976054,0.7753424657534246,1.089584484816716,1.180906706909574,0.04464111248177022,True
AlteredYap1,DTT,2.0,3,0.30011111111111105,0.7346022796067725,0.6092214663643234,0.8604626100107154,1.1975954547944068,0.08791646150548175,True
AlteredYap1,DTT,5.0,3,0.2995555555555555,0.7326492049110307,0.6538170823885108,0.7566363362988658,1.0454239810590416,0.017966652265840415,True
NativeYap1,DTT,0.0,3,0.4263333333333333,1.0,1.0,1.0,1.0,0.0,True
NativeYap1,DTT,0.1,3,0.41922222222222216,0.9899834127384278,0.9278074866310161,1.0442280173114191,1.0590754612587108,0.036419793930238364,True
NativeYap1,DTT,0.2,3,0.42522222222222217,1.0058119886425596,0.9338235294117648,1.0652846493923933,1.0632444775715326,0.028745215270546423,True
NativeYap1,DTT,0.5,3,0.419111111111111,0.9859816323068173,0.9532085561497327,1.127466605478279,1.1435845020394917,0.04197132175114094,True
NativeYap1,DTT,1.0,3,0.38177777777777777,0.886149476836214,0.7190305206463197,1.0773756154661995,1.2012582223842665,0.061177301454545086,True
NativeYap1,DTT,2.0,3,0.3026666666666667,0.712582759701546,0.6864973262032087,0.8903179548750243,1.2538968386847553,0.06646556513825938,True
NativeYap1,DTT,5.0,3,0.29077777777777775,0.6893376222905654,0.6109625668449197,0.7389548004963583,1.0788130676140446,0.03917628481071087,True
UPRE1,H2O2,0.0,3,0.4417777777777778,1.0,1.0,1.0,1.0,0.0,True
UPRE1,H2O2,0.1,3,0.41266666666666657,0.9414363156224604,0.9077238550922759,0.9451762736586061,1.0036503914423485,0.019575068900261675,True
UPRE1,H2O2,0.2,3,0.3944444444444444,0.9099978249119429,0.7464114832535884,0.9269864850133657,1.0218080962687706,0.02246904639579691,True
UPRE1,H2O2,0.5,3,0.3646666666666667,0.851463468968436,0.6678058783321942,0.8427387644127022,0.9975971891222396,0.039277810244044024,True
UPRE1,H2O2,1.0,3,0.21499999999999997,0.5356584922433821,0.31100478468899506,0.5020907269623074,0.9089933797720481,0.04159621125545834,False
UPRE1,H2O2,2.0,3,0.15811111111111106,0.36819106977771837,0.2740943267259055,0.18989091557126492,0.5087976692751656,0.10744698579155448,False
UPRE1,H2O2,4.0,3,0.14822222222222217,0.3500326001983141,0.28608247422680405,0.09220108687528715,0.26808425404494657,0.015053107239799886,False
UPRE2,H2O2,0.0,3,0.4217777777777778,1.0,1.0,1.0,1.0,0.0,True
UPRE2,H2O2,0.1,3,0.3833333333333333,0.926039820884324,0.8179470626210456,0.9481524099242246,1.0221311676658988,0.00999907998169036,True
UPRE2,H2O2,0.2,3,0.36366666666666664,0.8972229967377648,0.6772111039380243,0.915060202402835,1.020512070845782,0.008508318346328298,True
UPRE2,H2O2,0.5,3,0.3227777777777778,0.7963845560490938,0.6636539703034214,0.807448399799855,1.0140403649218868,0.008357980730610394,True
UPRE2,H2O2,1.0,3,0.22555555555555554,0.5831076667111245,0.32696715049656233,0.528742126007986,0.8402750781960888,0.11290747342143605,False
UPRE2,H2O2,2.0,3,0.145,0.3634802696889823,0.26791478373143957,0.12248398964091199,0.3463140936564297,0.019862247494091514,False
UPRE2,H2O2,4.0,3,0.14866666666666664,0.3738980053042596,0.26791478373143957,0.09713867763830893,0.27370450583342887,0.037611249455146094,False
