experiment,plate,truncation,n_timepoints,run_hours,activity_window_h,late_window_start_h,strain,strain_source,well_columns,galactose_percent,n_wells,naive_rfu_per_od,corrected_activity,mu_late
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,AFL,notebook,1-3,0.6,3,117.00658727891643,1.5996166174136244,0.010318697352465116
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,AFL,notebook,1-3,0.9,3,104.5623683280939,1.1996660734645972,0.01957501933151855
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,AFL,notebook,1-3,1.2,3,87.75498127994847,3.096024921293567,0.026836758644995545
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,AFL,notebook,1-3,1.5,3,88.04167184307198,4.825734211395232,0.03175749127148086
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,AFL,notebook,1-3,1.8,3,145.57688421851978,8.55981802053063,0.034438495939912196
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,Control,notebook,4-6,0.0,3,306.6786770320928,-7.348563357267963,0.0024033340769694734
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,Control,notebook,4-6,0.3,3,315.29306965040024,-6.025522302713941,0.0020513945403656843
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,Control,notebook,4-6,0.6,3,330.53906568323777,-3.0190095536033934,0.004976989702518692
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,Control,notebook,4-6,0.9,3,328.8861676524732,1.520721188169869,0.013001761413147711
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,Control,notebook,4-6,1.2,3,336.0662614342254,9.519949509109688,0.020514539754564933
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,Control,notebook,4-6,1.5,3,291.0935165842722,13.014116300311265,0.030492162375030902
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,Control,notebook,4-6,1.8,3,291.82110964567875,18.451159361930216,0.03669010996403294
