well,passed,failures,max_raw_od,min_od_above_blank,decline_fraction,od_fold_change,max_reporter_above_background
A1,True,,0.59,0.11577333333333334,0.0,3.7470520713763946,2381.523333333333
A2,True,,0.587,0.12477333333333335,0.041666666666666664,3.5908817031532427,2396.773333333333
A3,True,,0.604,0.12277333333333335,0.0,3.6836439748828855,2532.023333333333
B1,True,,0.565,0.10777333333333333,0.0,3.861428733159742,2229.4399999999996
B2,True,,0.556,0.10477333333333336,0.0,3.8174240694222425,2377.6899999999996
B3,True,,0.528,0.10577333333333336,0.125,2.526180326550309,2191.523333333333
C1,True,,0.619,0.13677333333333336,0.0,3.4293963728232426,3070.8566666666666
C2,True,,0.568,0.11677333333333334,0.0,3.5471112031476495,2821.6066666666666
C3,True,,0.573,0.11977333333333334,0.041666666666666664,3.700897627698226,2752.1899999999996
D1,True,,0.536,0.10377333333333336,0.0,3.7247158092112973,3042.3566666666666
D2,True,,0.527,0.11477333333333334,0.0,3.3753097059140362,2921.6899999999996
D3,True,,0.563,0.11677333333333334,0.041666666666666664,3.591964380366797,3120.9399999999996
E1,True,,0.532,0.15977333333333335,0.0,2.4728712256462,3669.856666666666
E2,True,,0.535,0.14577333333333334,0.041666666666666664,2.7397072669691003,3648.356666666666
E3,True,,0.464,0.11777333333333334,0.041666666666666664,2.8379259570887676,3228.6899999999996
F1,True,,0.427,0.13877333333333333,0.0,2.1530352279715363,2888.94
F2,True,,0.404,0.12777333333333335,0.0,2.2121358753508176,2647.023333333333
F3,True,,0.436,0.13777333333333336,0.041666666666666664,2.265451592529099,3072.023333333333
G1,True,,0.418,0.13777333333333336,0.0,2.128371761773346,2414.94
G2,True,,0.404,0.13277333333333335,0.041666666666666664,2.1128628396550124,2436.8566666666666
G3,True,,0.42,0.14377333333333334,0.08333333333333333,2.106913818852675,2468.523333333333
A4,True,,0.542,0.08677333333333334,0.041666666666666664,3.997030805394037,1941.9399999999996
A5,True,,0.538,0.08677333333333334,0.0,4.540452154130527,1905.69
A6,False,sustained_decline,0.61,0.09477333333333335,0.20833333333333334,4.989257172802304,2208.6066666666666
B4,True,,0.564,0.08677333333333334,0.125,4.548042229052519,1975.4399999999996
B5,True,,0.542,0.08877333333333334,0.0,3.9242074577918133,1920.523333333333
B6,True,,0.586,0.10277333333333336,0.041666666666666664,4.247644041512585,2354.1899999999996
C4,True,,0.536,0.09177333333333335,0.08333333333333333,4.399696886194543,2192.8566666666666
C5,True,,0.535,0.08777333333333334,0.041666666666666664,4.205213019317279,2169.9399999999996
C6,True,,0.566,0.11177333333333334,0.0,3.8373372249663222,2413.1899999999996
D4,True,,0.575,0.10177333333333335,0.041666666666666664,4.168632643235436,2984.4399999999996
D5,True,,0.561,0.10177333333333335,0.08333333333333333,4.015030418704521,3036.4399999999996
D6,True,,0.538,0.09577333333333335,0.08333333333333333,4.225059539560729,2997.4399999999996
E4,True,,0.455,0.09877333333333335,0.0,3.2454534207596195,3049.6066666666666
E5,True,,0.46,0.09577333333333335,0.041666666666666664,3.316273793016513,3081.8566666666666
E6,True,,0.459,0.10277333333333336,0.041666666666666664,3.2547321539032543,3177.3566666666666
F4,True,,0.378,0.10477333333333336,0.0,2.437616171003717,2599.023333333333
F5,True,,0.384,0.11377333333333334,0.08333333333333333,2.3195047784535183,2653.44
F6,True,,0.368,0.10077333333333335,0.041666666666666664,2.3833057460392526,2522.273333333333
G4,False,sustained_decline,0.363,0.10677333333333336,0.20833333333333334,2.1310998599590647,2259.8566666666666
G5,True,,0.342,0.09477333333333335,0.041666666666666664,2.3914115204981834,2138.44
G6,True,,0.363,0.11177333333333334,0.041666666666666664,2.123020575245071,2287.023333333333
A7,True,,0.686,0.12777333333333335,0.0,4.218599626829028,1559.19
A8,True,,0.664,0.11977333333333334,0.0,4.352440050483803,1477.1066666666666
A9,True,,0.853,0.11677333333333334,0.08333333333333333,5.198238302708846,2744.106666666666
B7,True,,0.719,0.12377333333333335,0.041666666666666664,4.58505724040972,1929.69
B8,True,,0.636,0.10177333333333335,0.125,4.164422771122654,1781.94
B9,True,,0.616,0.10877333333333333,0.0,4.241468343062415,1757.1066666666666
C7,True,,0.637,0.11077333333333333,0.0,4.336829322146168,1923.19
C8,True,,0.553,0.09977333333333335,0.041666666666666664,3.711046250561293,1533.523333333333
C9,True,,0.654,0.12477333333333335,0.0,3.9250943578825117,2078.773333333333
D7,True,,0.65,0.12677333333333335,0.0,3.9975715875746225,2531.773333333333
D8,True,,0.54,0.11377333333333334,0.08333333333333333,3.3693416728506302,1678.94
D9,True,,0.591,0.14577333333333334,0.08333333333333333,3.0946063885494843,2098.773333333333
E7,False,sustained_decline,0.291,0.13677333333333336,0.16666666666666666,1.3045204367048633,599.19
E8,False,sustained_decline,0.325,0.12077333333333334,0.25,1.71443363015117,1278.94
E9,True,,0.268,0.11577333333333334,0.08333333333333333,1.3941749698894121,444.7733333333333
F7,False,"sustained_decline,dynamic_range,reporter_above_background",0.288,0.11777333333333334,0.25,1.0392738697853028,19.440000000000055
F8,False,"sustained_decline,dynamic_range,reporter_above_background",0.343,0.12677333333333335,0.5416666666666666,1.10361024129674,3.1066666666666833
F9,False,"sustained_decline,dynamic_range,reporter_above_background",0.31,0.10377333333333336,0.4166666666666667,0.7749943748593715,13.440000000000055
G7,False,"dynamic_range,reporter_above_background",0.252,0.11477333333333334,0.125,1.0653246878931577,-1.5599999999999454
G8,False,"sustained_decline,dynamic_range,reporter_above_background",0.302,0.09977333333333335,0.4583333333333333,0.7388086773561634,1.4400000000000546
G9,False,"sustained_decline,dynamic_range,reporter_above_background",0.343,0.13077333333333335,0.4583333333333333,0.9799773076152973,-1.1433333333333167
A10,True,,0.619,0.10277333333333336,0.0,4.498151019921269,1069.4399999999998
A11,True,,0.662,0.09777333333333335,0.08333333333333333,5.111513486513485,1128.94
A12,True,,0.62,0.10677333333333336,0.0,4.245604019182461,1166.6066666666666
B10,True,,0.551,0.09577333333333335,0.0,4.344138661021433,1236.7733333333335
B11,True,,0.57,0.10277333333333336,0.0,4.268606393606393,1292.023333333333
B12,True,,0.589,0.09477333333333335,0.041666666666666664,4.604008736990876,1268.0233333333335
C10,True,,0.606,0.10777333333333333,0.0,4.2934479553903335,1665.94
C11,True,,0.605,0.10677333333333336,0.0,4.322395406070549,1486.19
C12,True,,0.63,0.10777333333333333,0.08333333333333333,4.524551740302355,1553.44
D10,False,sustained_decline,0.508,0.11077333333333333,0.16666666666666666,3.2793053545586104,1502.6066666666666
D11,True,,0.513,0.11577333333333334,0.08333333333333333,3.3911091154018855,1412.69
D12,False,sustained_decline,0.54,0.10077333333333335,0.20833333333333334,3.811456142521341,1358.023333333333
E10,False,sustained_decline,0.269,0.09277333333333335,0.16666666666666666,1.400908726446612,242.1066666666668
E11,True,,0.262,0.10577333333333336,0.041666666666666664,1.4473338900155077,450.35666666666657
E12,False,sustained_decline,0.324,0.11277333333333334,0.4583333333333333,1.8660704177516132,747.94
F10,False,"sustained_decline,reporter_above_background",0.312,0.09477333333333335,0.2916666666666667,2.1237850971922243,-49.559999999999945
F11,False,"sustained_decline,reporter_above_background",0.35,0.12177333333333334,0.375,1.500873317579369,-64.55999999999995
F12,False,reporter_above_background,0.229,0.09377333333333335,0.041666666666666664,1.3175443238952103,-47.559999999999945
G10,False,"sustained_decline,dynamic_range,reporter_above_background",0.324,0.10277333333333336,0.4166666666666667,1.054136966525309,-32.64333333333332
G11,False,"sustained_decline,reporter_above_background",0.322,0.09477333333333335,0.3333333333333333,2.210637734850489,-42.559999999999945
G12,False,reporter_above_background,0.251,0.11577333333333334,0.08333333333333333,1.2423785414197996,-11.559999999999945
