mg_per_gdcw,capacity,minimum,maximum,width,relative_width,max_growth
1,0.0006317072360951109,0.0,0.0006317072360951109,0.0006317072360951109,1.0,0.37682819648491944
5,0.003158536180475554,0.0,0.003158536180475554,0.003158536180475554,1.0,0.3768281964852286
10,0.006317072360951108,0.0,0.006317072360951108,0.006317072360951108,1.0,0.37682819648523147
20,0.012634144721902217,0.0,0.012634144721902217,0.012634144721902217,1.0,0.3768281964852298
50,0.031585361804755546,0.0,0.021049202820441232,0.021049202820441232,1.0,0.37682819648522903
100,0.06317072360951109,0.0,0.021049202820445416,0.021049202820445416,1.0,0.3768281964852303
