stressor,reference,tightened,min_scale,max_growth,solver_status,growth_ratio,ceiling,ceiling_ratio,floor,relative_width
H2O2,model-implied,263,0.31312840222597105,0.34598455193446265,optimal,0.9999997431661534,0.05939767328104898,0.9999815277692855,0.0,1.0
H2O2,caller-supplied capacities,263,0.31312840222597105,0.17448674431111422,optimal,0.5043193359975917,0.1938353772025845,3.263289383636831,0.0,1.0
DTT,model-implied,92,0.8688476885018066,0.3459844408121874,optimal,0.9999994219892507,0.05939750926496768,0.9999787664986414,0.0,1.0
DTT,caller-supplied capacities,92,0.8688476885018066,0.3459844408121948,optimal,0.9999994219892723,0.05939750926494549,0.9999787664982678,0.0,1.0
menadione,model-implied,263,0.38717019328746594,0.3459844408121969,optimal,0.9999994219892784,0.059397509264958404,0.9999787664984853,0.0,1.0
menadione,caller-supplied capacities,263,0.38717019328746594,0.1996770649822457,optimal,0.5771269629871809,0.17523074706660838,2.95007363899096,0.0,1.0
tunicamycin,model-implied,92,0.8590424321909834,0.34598444081219604,optimal,0.9999994219892758,0.05939750926495014,0.999978766498346,0.0,1.0
tunicamycin,caller-supplied capacities,92,0.8590424321909834,0.34598444081219465,optimal,0.9999994219892717,0.05939750926494871,0.9999787664983221,0.0,1.0
