construct,target,dose_mM,cq,cq_reference,delta_cq,delta_delta_cq,fold_change,replicate
AlteredYap1,TRX2,0.0,16.89710709516065,19.857973477887448,-2.960866382726799,0.0,1.0,0
AlteredYap1,TRX2,0.2,15.94719438499985,19.651147824450398,-3.7039534394505473,-0.7430870567237484,1.6737534818311126,0
AlteredYap1,TRX2,0.5,15.71834328567955,18.9208204782196,-3.2024771925400497,-0.24161080981325078,1.1823120095427255,0
NativeYap1,TRX2,0.0,16.051308710313698,19.8590939355075,-3.8077852251938005,0.0,1.0,0
NativeYap1,TRX2,0.2,15.84820851472095,18.825103134191302,-2.976894619470352,0.8308906057234484,0.5621820884801922,0
NativeYap1,TRX2,0.5,16.62368542320545,19.974841540747,-3.3511561175415494,0.45662910765225107,0.7286868658657104,0
UPRE1,Hac1,0.0,24.22134314573495,18.9355246334429,5.28581851229205,0.0,1.0,0
UPRE1,Hac1,0.2,23.6336941243053,18.9433860436541,4.690308080651199,-0.5955104316408502,1.5110070917369236,0
UPRE1,Hac1,0.5,23.513625002057353,18.2357703508589,5.277854651198453,-0.007963861093596591,1.0055353918426593,0
UPRE2,Hac1,0.0,23.9803965852283,18.5251082549123,5.455288330315998,0.0,1.0,0
UPRE2,Hac1,0.2,23.47315875075185,18.61432878003515,4.858829970716698,-0.5964583595992998,1.5120002306107465,0
UPRE2,Hac1,0.5,23.579748747137,18.485913557932548,5.0938351892044516,-0.36145314111154647,1.2847192675747925,0
AlteredYap1,TRX2,0.0,15.155404853898851,18.3233336275649,-3.1679287736660484,0.0,1.0,1
AlteredYap1,TRX2,0.2,15.3590978995543,19.6921055389513,-4.333007639397,-1.1650788657309512,2.2424547377483757,1
AlteredYap1,TRX2,0.5,16.16195449123375,20.395210218443253,-4.233255727209503,-1.0653269535434546,2.092644075345988,1
NativeYap1,TRX2,0.0,15.38758126097535,19.1948670231745,-3.8072857621991485,0.0,1.0,1
NativeYap1,TRX2,0.2,15.83093943699795,20.652496061214848,-4.821556624216898,-1.0142708620177494,2.019881786834695,1
NativeYap1,TRX2,0.5,16.5697715033077,21.0817392029082,-4.5119676996005005,-0.704681937401352,1.6297853158896851,1
UPRE1,Hac1,0.0,26.975133351334748,19.920705872834702,7.054427478500045,0.0,1.0,1
UPRE1,Hac1,0.2,26.0661017383581,19.3829272670525,6.683174471305598,-0.3712530071944471,1.293475750423093,1
UPRE1,Hac1,0.5,26.25189689830625,19.05263670169665,7.1992601966096,0.144832718109555,0.904484247307573,1
UPRE2,Hac1,0.0,26.781268626847798,19.0002910476937,7.780977579154097,0.0,1.0,1
UPRE2,Hac1,0.2,26.1604984983591,19.521357414371302,6.6391410839877985,-1.1418364951662987,2.206617383532865,1
UPRE2,Hac1,0.5,26.648235727007147,19.2770587755724,7.371176951434748,-0.4098006277193491,1.3285022099318715,1
AlteredYap1,TRX2,0.0,16.09107984228735,19.9115165498496,-3.8204367075622514,0.0,1.0,2
AlteredYap1,TRX2,0.2,16.39585468415795,20.1276314052594,-3.7317767211014505,0.08865998646080087,0.9403958083385002,2
AlteredYap1,TRX2,0.5,17.830608582593698,22.146432249287848,-4.3158236666941505,-0.4953869591318991,1.4096988133343495,2
NativeYap1,TRX2,0.0,16.0251154866053,19.862270569574648,-3.837155082969346,0.0,1.0,2
NativeYap1,TRX2,0.2,16.2313935178902,20.45639694910195,-4.22500343121175,-0.3878483482424038,1.3084405248986746,2
NativeYap1,TRX2,0.5,16.32922540689445,20.389446120071952,-4.0602207131775,-0.22306563020815418,1.1672111986749518,2
UPRE1,Hac1,0.0,28.91562896218055,20.39684736613665,8.518781596043898,0.0,1.0,2
UPRE1,Hac1,0.2,31.66074727058095,20.0828786613815,11.577868609199449,3.059087013155551,0.11998392083059811,2
UPRE1,Hac1,0.5,27.1063682583472,19.871639597968752,7.2347286603784475,-1.28405293566545,2.435221389334637,2
UPRE2,Hac1,0.0,27.553183993151897,19.7120096880549,7.841174305096999,0.0,1.0,2
UPRE2,Hac1,0.2,28.10472162040005,20.4644505618558,7.640271058544251,-0.20090324655274827,1.149417760461276,2
UPRE2,Hac1,0.5,27.1116024150794,19.804389290888,7.307213124191399,-0.5339611809055995,1.447899212730559,2
