check,expected,actual,status,detail
output table: outputs/heldout_transfer_summary.json,exists,exists,PASS,
output table: outputs/hog_learning_run_03,exists,exists,PASS,
output table: outputs/in_silico/closed_loop_04,exists,exists,PASS,
output table: outputs/late_window_sensitivity.csv,exists,exists,PASS,
output table: outputs/native_order_summary.csv,exists,exists,PASS,
output table: outputs/native_population_development/native_training_01_phase_c_01_scoring/development_report.json,exists,exists,PASS,
output table: outputs/native_training_run_02,exists,exists,PASS,
output table: outputs/registered_prediction_D018.csv,exists,exists,PASS,
output table: outputs/stress_map_audit_02/teacher_recovery_review.json,exists,exists,PASS,
test count claimed in README,7435,7435,PASS,
retracted claim absent elsewhere: 'gadusol and glycogen flip at low growth rate',only in docs/ARCHITECTURE.md or docs/superseded/,nowhere else,PASS,
retracted claim absent elsewhere: 'every sensor is effectively down to two',only in docs/DATA_INVENTORY.md or docs/superseded/,nowhere else,PASS,
retracted claim absent elsewhere: 'neither has a blank well',only in docs/DATA_INVENTORY.md or docs/superseded/,nowhere else,PASS,
retracted claim absent elsewhere: 'pH_c is a state whose verdict FLIPS between the windows',only in docs/MECHANISTIC_LAYER.md or docs/superseded/,nowhere else,PASS,
retracted claim absent elsewhere: 'a per-strain capacity scores −0.58 out of sample',only in docs/research/KINETIC_FIT.md or docs/superseded/,nowhere else,PASS,
architecture scope: code modules,135,135,PASS,
architecture scope: package __init__.py,13,13,PASS,
architecture scope: src LOC,"64,853","64,853",PASS,within 5%
architecture scope: scripts/*.py,83,83,PASS,
architecture scope: tests collected,"7,435","7,435",PASS,
unmarked numeric claims in src/ docstrings,<= 1969,1966,PASS,"heaviest: src/ystwin/calib/gain_linearity.py (35), src/ystwin/paths.py (26), src/ystwin/reporter.py (21), src/ystwin/mech/integrate.py (19), src/ystwin/mech/upr.py (19). Lower the ceiling as these get marked"
unmarked numeric claims in src/ #: field comments,<= 75,75,PASS,"heaviest: src/ystwin/pathway/gem_environment.py (40), src/ystwin/pathway/enzyme_capacity.py (13), src/ystwin/bridge/stress_diversion.py (8), src/ystwin/fba/stress_proteostasis.py (6), src/ystwin/fba/fedbatch.py (4). Lower the ceiling as these get marked"
unmarked numeric claims in scripts/ docstrings,<= 352,352,PASS,"heaviest: scripts/batch_sufficiency.py (29), scripts/score_phb_environment.py (19), scripts/carrying_capacity_check.py (18), scripts/simulate_proteomics_gain.py (17), scripts/env_to_product_multi.py (16). Lower the ceiling as these get marked"
unmarked numeric claims in docs/ and README prose,<= 8805,8805,PASS,"heaviest: docs/FINDINGS.md (876), docs/research/G4_ANCHOR.md (510), docs/EXTERNAL_CAROTENOID_BOUND.md (403), docs/research/PREDICTION.md (401), docs/research/CALIBRATION_DATA.md (377). Lower the ceiling as these get marked"
number claimed in README.md:73 = 1.28 (outputs/late_window_sensitivity.csv[naive_fold]),1.28,1.27901,PASS,outputs/late_window_sensitivity.csv[naive_fold] where construct=NativeYap1; stressor=H2O2; dose_mM=0.1; late_fraction=0.75 (tolerance 0.005)
number claimed in README.md:73 = 0.92 (outputs/late_window_sensitivity.csv[fold]),0.92,0.917889,PASS,outputs/late_window_sensitivity.csv[fold] where construct=NativeYap1; stressor=H2O2; dose_mM=0.1; late_fraction=0.75 (tolerance 0.005)
number claimed in README.md:74 = 2.02 (outputs/late_window_sensitivity.csv[naive_fold]),2.02,2.01692,PASS,outputs/late_window_sensitivity.csv[naive_fold] where construct=UPRE1; stressor=DTT; dose_mM=2.0; late_fraction=0.75 (tolerance 0.005)
number claimed in README.md:74 = 1.06 (outputs/late_window_sensitivity.csv[fold]),1.06,1.05824,PASS,outputs/late_window_sensitivity.csv[fold] where construct=UPRE1; stressor=DTT; dose_mM=2.0; late_fraction=0.75 (tolerance 0.005)
number claimed in README.md:75 = 1.93 (outputs/late_window_sensitivity.csv[naive_fold]),1.93,1.93075,PASS,outputs/late_window_sensitivity.csv[naive_fold] where construct=UPRE2; stressor=DTT; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in README.md:75 = 1.56 (outputs/late_window_sensitivity.csv[fold]),1.56,1.56202,PASS,outputs/late_window_sensitivity.csv[fold] where construct=UPRE2; stressor=DTT; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in README.md:76 = 1.69 (outputs/late_window_sensitivity.csv[naive_fold]),1.69,1.69306,PASS,outputs/late_window_sensitivity.csv[naive_fold] where construct=AlteredYap1; stressor=H2O2; dose_mM=0.5; late_fraction=0.75 (tolerance 0.005)
