check,expected,actual,status,detail
number claimed in docs/FINDINGS.md:1231 = 1.52 (outputs/late_window_sensitivity.csv[naive_fold]),1.52,1.51932,PASS,outputs/late_window_sensitivity.csv[naive_fold] where construct=AlteredYap1; stressor=H2O2; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1231 = 1.00 (outputs/late_window_sensitivity.csv[fold]),1.00,0.999732,PASS,outputs/late_window_sensitivity.csv[fold] where construct=AlteredYap1; stressor=H2O2; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1231 = 0.24 (outputs/late_window_sensitivity.csv[low]),0.24,0.235264,PASS,outputs/late_window_sensitivity.csv[low] where construct=AlteredYap1; stressor=H2O2; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1231 = 2.50 (outputs/late_window_sensitivity.csv[high]),2.50,2.5022,PASS,outputs/late_window_sensitivity.csv[high] where construct=AlteredYap1; stressor=H2O2; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1232 = 1.83 (outputs/late_window_sensitivity.csv[naive_fold]),1.83,1.82672,PASS,outputs/late_window_sensitivity.csv[naive_fold] where construct=UPRE1; stressor=DTT; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1232 = 1.44 (outputs/late_window_sensitivity.csv[fold]),1.44,1.44086,PASS,outputs/late_window_sensitivity.csv[fold] where construct=UPRE1; stressor=DTT; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1232 = 1.22 (outputs/late_window_sensitivity.csv[low]),1.22,1.22269,PASS,outputs/late_window_sensitivity.csv[low] where construct=UPRE1; stressor=DTT; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1232 = 1.68 (outputs/late_window_sensitivity.csv[high]),1.68,1.67929,PASS,outputs/late_window_sensitivity.csv[high] where construct=UPRE1; stressor=DTT; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1233 = 1.93 (outputs/late_window_sensitivity.csv[naive_fold]),1.93,1.93075,PASS,outputs/late_window_sensitivity.csv[naive_fold] where construct=UPRE2; stressor=DTT; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1233 = 1.56 (outputs/late_window_sensitivity.csv[fold]),1.56,1.56202,PASS,outputs/late_window_sensitivity.csv[fold] where construct=UPRE2; stressor=DTT; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1233 = 1.30 (outputs/late_window_sensitivity.csv[low]),1.30,1.30466,PASS,outputs/late_window_sensitivity.csv[low] where construct=UPRE2; stressor=DTT; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1233 = 1.83 (outputs/late_window_sensitivity.csv[high]),1.83,1.83216,PASS,outputs/late_window_sensitivity.csv[high] where construct=UPRE2; stressor=DTT; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1234 = 2.02 (outputs/late_window_sensitivity.csv[naive_fold]),2.02,2.01692,PASS,outputs/late_window_sensitivity.csv[naive_fold] where construct=UPRE1; stressor=DTT; dose_mM=2.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1234 = 1.06 (outputs/late_window_sensitivity.csv[fold]),1.06,1.05824,PASS,outputs/late_window_sensitivity.csv[fold] where construct=UPRE1; stressor=DTT; dose_mM=2.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1234 = 0.92 (outputs/late_window_sensitivity.csv[low]),0.92,0.923548,PASS,outputs/late_window_sensitivity.csv[low] where construct=UPRE1; stressor=DTT; dose_mM=2.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1234 = 1.21 (outputs/late_window_sensitivity.csv[high]),1.21,1.21243,PASS,outputs/late_window_sensitivity.csv[high] where construct=UPRE1; stressor=DTT; dose_mM=2.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1235 = 1.76 (outputs/late_window_sensitivity.csv[naive_fold]),1.76,1.76394,PASS,outputs/late_window_sensitivity.csv[naive_fold] where construct=UPRE1; stressor=DTT; dose_mM=5.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1235 = 0.93 (outputs/late_window_sensitivity.csv[fold]),0.93,0.933646,PASS,outputs/late_window_sensitivity.csv[fold] where construct=UPRE1; stressor=DTT; dose_mM=5.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1235 = 0.80 (outputs/late_window_sensitivity.csv[low]),0.80,0.795426,PASS,outputs/late_window_sensitivity.csv[low] where construct=UPRE1; stressor=DTT; dose_mM=5.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1235 = 1.09 (outputs/late_window_sensitivity.csv[high]),1.09,1.08784,PASS,outputs/late_window_sensitivity.csv[high] where construct=UPRE1; stressor=DTT; dose_mM=5.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1236 = 2.02 (outputs/late_window_sensitivity.csv[naive_fold]),2.02,2.02035,PASS,outputs/late_window_sensitivity.csv[naive_fold] where construct=UPRE2; stressor=DTT; dose_mM=5.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1236 = 1.06 (outputs/late_window_sensitivity.csv[fold]),1.06,1.06234,PASS,outputs/late_window_sensitivity.csv[fold] where construct=UPRE2; stressor=DTT; dose_mM=5.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1236 = 0.93 (outputs/late_window_sensitivity.csv[low]),0.93,0.933966,PASS,outputs/late_window_sensitivity.csv[low] where construct=UPRE2; stressor=DTT; dose_mM=5.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1236 = 1.23 (outputs/late_window_sensitivity.csv[high]),1.23,1.23259,PASS,outputs/late_window_sensitivity.csv[high] where construct=UPRE2; stressor=DTT; dose_mM=5.0; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1328 = 0.92 (outputs/autofluorescence_sensitivity.csv[fold]),0.92,0.917889,PASS,outputs/autofluorescence_sensitivity.csv[fold] where construct=NativeYap1; stressor=H2O2; dose_mM=0.1; autofluorescence_fraction=0.0 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1329 = 1.01 (outputs/autofluorescence_sensitivity.csv[fold]),1.01,1.01484,PASS,outputs/autofluorescence_sensitivity.csv[fold] where construct=AlteredYap1; stressor=H2O2; dose_mM=0.1; autofluorescence_fraction=0.0 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1330 = 1.00 (outputs/autofluorescence_sensitivity.csv[fold]),1.00,0.999732,PASS,outputs/autofluorescence_sensitivity.csv[fold] where construct=AlteredYap1; stressor=H2O2; dose_mM=1.0; autofluorescence_fraction=0.0 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1331 = 1.06 (outputs/autofluorescence_sensitivity.csv[fold]),1.06,1.05824,PASS,outputs/autofluorescence_sensitivity.csv[fold] where construct=UPRE1; stressor=DTT; dose_mM=2.0; autofluorescence_fraction=0.0 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1332 = 0.93 (outputs/autofluorescence_sensitivity.csv[fold]),0.93,0.933646,PASS,outputs/autofluorescence_sensitivity.csv[fold] where construct=UPRE1; stressor=DTT; dose_mM=5.0; autofluorescence_fraction=0.0 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1333 = 1.06 (outputs/autofluorescence_sensitivity.csv[fold]),1.06,1.06234,PASS,outputs/autofluorescence_sensitivity.csv[fold] where construct=UPRE2; stressor=DTT; dose_mM=5.0; autofluorescence_fraction=0.0 (tolerance 0.005)
number claimed in docs/MEASUREMENTS_NEEDED.md:303 = 0.205 (outputs/carotenoid_fit.csv[RMSE(log) LOO]),0.205,0.205424,PASS,outputs/carotenoid_fit.csv[RMSE(log) LOO] where model=capacity per strain x mu (tolerance 0.0005)
number claimed in docs/MEASUREMENTS_NEEDED.md:305 = 1.1494 (outputs/carotenoid_parsimony.csv[value]),1.1494,1.1494,PASS,outputs/carotenoid_parsimony.csv[value] where quantity=capacity spread across strains (tolerance 5e-05)
number claimed in docs/MEASUREMENTS_NEEDED.md:307 = 0.0593 (outputs/carotenoid_parsimony.csv[value]),0.0593,0.0593,PASS,outputs/carotenoid_parsimony.csv[value] where quantity=pearson log mrna vs log capacity (tolerance 5e-05)
number claimed in docs/MEASUREMENTS_NEEDED.md:309 = 0.5666 (outputs/carotenoid_parsimony.csv[value]),0.5666,0.5666,PASS,outputs/carotenoid_parsimony.csv[value] where quantity=nested F statistic (tolerance 5e-05)
number claimed in docs/MEASUREMENTS_NEEDED.md:310 = 0.6383 (outputs/carotenoid_parsimony.csv[value]),0.6383,0.6383,PASS,outputs/carotenoid_parsimony.csv[value] where quantity=nested F p (tolerance 5e-05)
number claimed in docs/WHAT_IS_LEFT.md:152 = 1.1494 (outputs/carotenoid_parsimony.csv[value]),1.1494,1.1494,PASS,outputs/carotenoid_parsimony.csv[value] where quantity=capacity spread across strains (tolerance 5e-05)
number claimed in docs/WHAT_IS_LEFT.md:154 = 0.0593 (outputs/carotenoid_parsimony.csv[value]),0.0593,0.0593,PASS,outputs/carotenoid_parsimony.csv[value] where quantity=pearson log mrna vs log capacity (tolerance 5e-05)
number claimed in docs/WHAT_IS_LEFT.md:156 = 0.5666 (outputs/carotenoid_parsimony.csv[value]),0.5666,0.5666,PASS,outputs/carotenoid_parsimony.csv[value] where quantity=nested F statistic (tolerance 5e-05)
number claimed in docs/WHAT_IS_LEFT.md:157 = 0.6383 (outputs/carotenoid_parsimony.csv[value]),0.6383,0.6383,PASS,outputs/carotenoid_parsimony.csv[value] where quantity=nested F p (tolerance 5e-05)
number claimed in docs/research/KINETIC_FIT.md:140 = 0.550 (outputs/carotenoid_fit.csv[RMSE(log) LOO]),0.550,0.550285,PASS,"outputs/carotenoid_fit.csv[RMSE(log) LOO] where model=vmax per strain, growth-independent (tolerance 0.0005)"
number claimed in docs/research/KINETIC_FIT.md:140 = -0.5845 (outputs/carotenoid_fit.csv[skill vs best baseline]),-0.5845,-0.584523,PASS,"outputs/carotenoid_fit.csv[skill vs best baseline] where model=vmax per strain, growth-independent (tolerance 5e-05)"
number claimed in docs/research/KINETIC_FIT.md:141 = 0.205 (outputs/carotenoid_fit.csv[RMSE(log) LOO]),0.205,0.205424,PASS,outputs/carotenoid_fit.csv[RMSE(log) LOO] where model=capacity per strain x mu (tolerance 0.0005)
number claimed in docs/research/KINETIC_FIT.md:141 = 0.78 (outputs/carotenoid_fit.csv[skill vs best baseline]),0.78,0.779187,PASS,outputs/carotenoid_fit.csv[skill vs best baseline] where model=capacity per strain x mu (tolerance 0.005)
number claimed in docs/research/KINETIC_FIT.md:165 = 0.205 (outputs/carotenoid_fit.csv[RMSE(log) LOO]),0.205,0.205424,PASS,outputs/carotenoid_fit.csv[RMSE(log) LOO] where model=capacity per strain x mu (tolerance 0.0005)
number claimed in docs/research/KINETIC_FIT.md:168 = 1.1494 (outputs/carotenoid_parsimony.csv[value]),1.1494,1.1494,PASS,outputs/carotenoid_parsimony.csv[value] where quantity=capacity spread across strains (tolerance 5e-05)
number claimed in docs/research/KINETIC_FIT.md:170 = 0.0593 (outputs/carotenoid_parsimony.csv[value]),0.0593,0.0593,PASS,outputs/carotenoid_parsimony.csv[value] where quantity=pearson log mrna vs log capacity (tolerance 5e-05)
number claimed in docs/research/KINETIC_FIT.md:172 = 0.5666 (outputs/carotenoid_parsimony.csv[value]),0.5666,0.5666,PASS,outputs/carotenoid_parsimony.csv[value] where quantity=nested F statistic (tolerance 5e-05)
number claimed in docs/research/KINETIC_FIT.md:173 = 0.6383 (outputs/carotenoid_parsimony.csv[value]),0.6383,0.6383,PASS,outputs/carotenoid_parsimony.csv[value] where quantity=nested F p (tolerance 5e-05)
number claimed in docs/research/KINETIC_FIT.md:174 = 0.067167 (outputs/carotenoid_parsimony.csv[value]),0.067167,0.067167,PASS,outputs/carotenoid_parsimony.csv[value] where quantity=rss restricted (tolerance 5e-07)
number claimed in docs/research/KINETIC_FIT.md:175 = 0.042874 (outputs/carotenoid_parsimony.csv[value]),0.042874,0.042874,PASS,outputs/carotenoid_parsimony.csv[value] where quantity=rss full (tolerance 5e-07)
number claimed in docs/research/KINETIC_FIT.md:394 = 0.205 (outputs/carotenoid_fit.csv[RMSE(log) LOO]),0.205,0.205424,PASS,outputs/carotenoid_fit.csv[RMSE(log) LOO] where model=capacity per strain x mu (tolerance 0.0005)
number claimed in docs/research/KINETIC_FIT.md:395 = 1.1494 (outputs/carotenoid_parsimony.csv[value]),1.1494,1.1494,PASS,outputs/carotenoid_parsimony.csv[value] where quantity=capacity spread across strains (tolerance 5e-05)
number claimed in docs/research/KINETIC_FIT.md:397 = 0.6383 (outputs/carotenoid_parsimony.csv[value]),0.6383,0.6383,PASS,outputs/carotenoid_parsimony.csv[value] where quantity=nested F p (tolerance 5e-05)
number claimed in src/ystwin/analysis/multiplicity.py:58 = 0.4337 (outputs/fold_multiplicity.csv[statistic]),0.4337,0.433708,PASS,outputs/fold_multiplicity.csv[statistic] where construct=AlteredYap1; measurement=dose_response_permutation (tolerance 5e-05)
number claimed in src/ystwin/analysis/multiplicity.py:58 = 0.00100 (outputs/fold_multiplicity.csv[p_bootstrap]),0.00100,0.00099995,PASS,outputs/fold_multiplicity.csv[p_bootstrap] where construct=AlteredYap1; measurement=dose_response_permutation (tolerance 5e-06)
number claimed in src/ystwin/analysis/multiplicity.py:58 = 0.0040 (outputs/fold_multiplicity.csv[p_holm]),0.0040,0.0039998,PASS,outputs/fold_multiplicity.csv[p_holm] where construct=AlteredYap1; measurement=dose_response_permutation (tolerance 5e-05)
number claimed in src/ystwin/analysis/multiplicity.py:75 = 0.00100 (outputs/fold_multiplicity.csv[p_bootstrap]),0.00100,0.00099995,PASS,outputs/fold_multiplicity.csv[p_bootstrap] where construct=AlteredYap1; measurement=dose_response_permutation (tolerance 5e-06)
number claimed in src/ystwin/analysis/multiplicity.py:76 = 0.0040 (outputs/fold_multiplicity.csv[p_holm]),0.0040,0.0039998,PASS,outputs/fold_multiplicity.csv[p_holm] where construct=AlteredYap1; measurement=dose_response_permutation (tolerance 5e-05)
number claimed in src/ystwin/bridge/maintenance_calibration.py:38 = 0.004642 (outputs/maintenance_scale.csv[ngam_slope_per_h_per_mmol_atp]),0.004642,0.004642,PASS,outputs/maintenance_scale.csv[ngam_slope_per_h_per_mmol_atp] where glucose_lower_bound_mmol_per_gdcw_h=-1.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 5e-07)
number claimed in src/ystwin/bridge/maintenance_calibration.py:43 = 0.000 (outputs/maintenance_scale.csv[ethanol_at_zero_ngam_mmol_per_gdcw_h]),0.000,0,PASS,outputs/maintenance_scale.csv[ethanol_at_zero_ngam_mmol_per_gdcw_h] where glucose_lower_bound_mmol_per_gdcw_h=-10.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.0005)
number claimed in src/ystwin/bridge/maintenance_calibration.py:49 = 15.923 (outputs/maintenance_scale.csv[ethanol_at_zero_ngam_mmol_per_gdcw_h]),15.923,15.923,PASS,outputs/maintenance_scale.csv[ethanol_at_zero_ngam_mmol_per_gdcw_h] where glucose_lower_bound_mmol_per_gdcw_h=-11.1; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 0.0005)
number claimed in src/ystwin/bridge/maintenance_calibration.py:50 = 0.010778 (outputs/maintenance_scale.csv[ngam_slope_per_h_per_mmol_atp]),0.010778,0.010778,PASS,outputs/maintenance_scale.csv[ngam_slope_per_h_per_mmol_atp] where glucose_lower_bound_mmol_per_gdcw_h=-11.1; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 5e-07)
number claimed in src/ystwin/bridge/maintenance_calibration.py:51 = 2.322 (outputs/maintenance_scale.csv[slope_ratio_to_oxygen_unlimited]),2.322,2.322,PASS,outputs/maintenance_scale.csv[slope_ratio_to_oxygen_unlimited] where glucose_lower_bound_mmol_per_gdcw_h=-11.1; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 0.0005)
number claimed in src/ystwin/bridge/maintenance_calibration.py:63 = 0.044179 (outputs/maintenance_scale.csv[ablation_growth_error_at_asserted_per_h]),0.044179,0.044179,PASS,outputs/maintenance_scale.csv[ablation_growth_error_at_asserted_per_h] where glucose_lower_bound_mmol_per_gdcw_h=-11.1; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 5e-07)
number claimed in src/ystwin/bridge/maintenance_calibration.py:64 = 3.776 (outputs/maintenance_scale.csv[ablation_over_growth_floor_at_asserted]),3.776,3.776,PASS,outputs/maintenance_scale.csv[ablation_over_growth_floor_at_asserted] where glucose_lower_bound_mmol_per_gdcw_h=-11.1; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 0.0005)
number claimed in src/ystwin/bridge/maintenance_calibration.py:66 = 0.0117 (outputs/maintenance_scale.csv[growth_assay_floor_per_h]),0.0117,0.0117,PASS,outputs/maintenance_scale.csv[growth_assay_floor_per_h] where glucose_lower_bound_mmol_per_gdcw_h=-11.1; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 5e-05)
number claimed in src/ystwin/bridge/maintenance_calibration.py:68 = 0.010063 (outputs/maintenance_scale.csv[ablation_growth_error_at_measured_per_h]),0.010063,0.010063,PASS,outputs/maintenance_scale.csv[ablation_growth_error_at_measured_per_h] where glucose_lower_bound_mmol_per_gdcw_h=-11.1; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 5e-07)
number claimed in src/ystwin/bridge/maintenance_calibration.py:73 = 0.0 (outputs/maintenance_scale.csv[ngam_slope_spread_relative]),0.0,0,PASS,outputs/maintenance_scale.csv[ngam_slope_spread_relative] where glucose_lower_bound_mmol_per_gdcw_h=-10.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.05)
number claimed in src/ystwin/bridge/maintenance_calibration.py:77 = 0.048399 (outputs/maintenance_scale.csv[slope_linearity_growth_error_per_h]),0.048399,0.048399,PASS,outputs/maintenance_scale.csv[slope_linearity_growth_error_per_h] where glucose_lower_bound_mmol_per_gdcw_h=-1.5; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 5e-07)
number claimed in src/ystwin/bridge/maintenance_calibration.py:83 = 37.52 (outputs/maintenance_scale.csv[growth_penalty_asserted_percent]),37.52,37.52,PASS,outputs/maintenance_scale.csv[growth_penalty_asserted_percent] where glucose_lower_bound_mmol_per_gdcw_h=-1.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.005)
number claimed in src/ystwin/bridge/maintenance_calibration.py:83 = 8.55 (outputs/maintenance_scale.csv[growth_penalty_measured_percent]),8.55,8.55,PASS,outputs/maintenance_scale.csv[growth_penalty_measured_percent] where glucose_lower_bound_mmol_per_gdcw_h=-1.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.005)
number claimed in src/ystwin/bridge/maintenance_calibration.py:84 = 25.01 (outputs/maintenance_scale.csv[growth_penalty_asserted_percent]),25.01,25.01,PASS,outputs/maintenance_scale.csv[growth_penalty_asserted_percent] where glucose_lower_bound_mmol_per_gdcw_h=-1.5; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.005)
number claimed in src/ystwin/bridge/maintenance_calibration.py:84 = 5.70 (outputs/maintenance_scale.csv[growth_penalty_measured_percent]),5.70,5.7,PASS,outputs/maintenance_scale.csv[growth_penalty_measured_percent] where glucose_lower_bound_mmol_per_gdcw_h=-1.5; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.005)
number claimed in src/ystwin/bridge/maintenance_calibration.py:85 = 3.75 (outputs/maintenance_scale.csv[growth_penalty_asserted_percent]),3.75,3.75,PASS,outputs/maintenance_scale.csv[growth_penalty_asserted_percent] where glucose_lower_bound_mmol_per_gdcw_h=-10.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.005)
number claimed in src/ystwin/bridge/maintenance_calibration.py:85 = 0.85 (outputs/maintenance_scale.csv[growth_penalty_measured_percent]),0.85,0.85,PASS,outputs/maintenance_scale.csv[growth_penalty_measured_percent] where glucose_lower_bound_mmol_per_gdcw_h=-10.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.005)
number claimed in src/ystwin/bridge/maintenance_calibration.py:87 = 21.95 (outputs/maintenance_scale.csv[growth_penalty_asserted_percent]),21.95,21.95,PASS,outputs/maintenance_scale.csv[growth_penalty_asserted_percent] where glucose_lower_bound_mmol_per_gdcw_h=-11.1; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 0.005)
number claimed in src/ystwin/bridge/maintenance_calibration.py:87 = 5.00 (outputs/maintenance_scale.csv[growth_penalty_measured_percent]),5.00,5,PASS,outputs/maintenance_scale.csv[growth_penalty_measured_percent] where glucose_lower_bound_mmol_per_gdcw_h=-11.1; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 0.005)
number claimed in src/ystwin/bridge/maintenance_calibration.py:92 = 4.39 (outputs/maintenance_scale.csv[penalty_ratio_asserted_over_measured]),4.39,4.39,PASS,outputs/maintenance_scale.csv[penalty_ratio_asserted_over_measured] where glucose_lower_bound_mmol_per_gdcw_h=-1.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.005)
number claimed in src/ystwin/bridge/maintenance_calibration.py:94 = 8.491 (outputs/maintenance_scale.csv[penalty_ratio_asserted_over_measured]),8.491,8.491,PASS,outputs/maintenance_scale.csv[penalty_ratio_asserted_over_measured] where glucose_lower_bound_mmol_per_gdcw_h=-1.5; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 0.0005)
number claimed in src/ystwin/bridge/maintenance_calibration.py:97 = 19.19 (outputs/maintenance_scale.csv[no_growth_ngam_mmol_atp_per_gdw_h]),19.19,19.19,PASS,outputs/maintenance_scale.csv[no_growth_ngam_mmol_atp_per_gdw_h] where glucose_lower_bound_mmol_per_gdcw_h=-1.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.005)
number claimed in src/ystwin/bridge/maintenance_calibration.py:98 = 191.92 (outputs/maintenance_scale.csv[no_growth_ngam_mmol_atp_per_gdw_h]),191.92,191.92,PASS,outputs/maintenance_scale.csv[no_growth_ngam_mmol_atp_per_gdw_h] where glucose_lower_bound_mmol_per_gdcw_h=-10.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.005)
number claimed in src/ystwin/bridge/maintenance_calibration.py:99 = 25.73 (outputs/maintenance_scale.csv[no_growth_ngam_mmol_atp_per_gdw_h]),25.73,25.73,PASS,outputs/maintenance_scale.csv[no_growth_ngam_mmol_atp_per_gdw_h] where glucose_lower_bound_mmol_per_gdcw_h=-10.0; oxygen_lower_bound_mmol_per_gdcw_h=-2.0 (tolerance 0.005)
number claimed in src/ystwin/bridge/stress_energetics.py:29 = 4.39 (outputs/maintenance_scale.csv[penalty_ratio_asserted_over_measured]),4.39,4.39,PASS,outputs/maintenance_scale.csv[penalty_ratio_asserted_over_measured] where glucose_lower_bound_mmol_per_gdcw_h=-1.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.005)
number claimed in src/ystwin/bridge/stress_energetics.py:33 = 0.004642 (outputs/maintenance_scale.csv[ngam_slope_per_h_per_mmol_atp]),0.004642,0.004642,PASS,outputs/maintenance_scale.csv[ngam_slope_per_h_per_mmol_atp] where glucose_lower_bound_mmol_per_gdcw_h=-10.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 5e-07)
number claimed in src/ystwin/bridge/stress_energetics.py:41 = 15.923 (outputs/maintenance_scale.csv[ethanol_at_zero_ngam_mmol_per_gdcw_h]),15.923,15.923,PASS,outputs/maintenance_scale.csv[ethanol_at_zero_ngam_mmol_per_gdcw_h] where glucose_lower_bound_mmol_per_gdcw_h=-11.1; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 0.0005)
number claimed in src/ystwin/bridge/stress_energetics.py:42 = 0.010778 (outputs/maintenance_scale.csv[ngam_slope_per_h_per_mmol_atp]),0.010778,0.010778,PASS,outputs/maintenance_scale.csv[ngam_slope_per_h_per_mmol_atp] where glucose_lower_bound_mmol_per_gdcw_h=-11.1; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 5e-07)
number claimed in src/ystwin/bridge/stress_energetics.py:43 = 2.322 (outputs/maintenance_scale.csv[slope_ratio_to_oxygen_unlimited]),2.322,2.322,PASS,outputs/maintenance_scale.csv[slope_ratio_to_oxygen_unlimited] where glucose_lower_bound_mmol_per_gdcw_h=-11.1; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 0.0005)
number claimed in src/ystwin/bridge/stress_energetics.py:53 = 37.52 (outputs/maintenance_scale.csv[growth_penalty_asserted_percent]),37.52,37.52,PASS,outputs/maintenance_scale.csv[growth_penalty_asserted_percent] where glucose_lower_bound_mmol_per_gdcw_h=-1.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.005)
number claimed in src/ystwin/bridge/stress_energetics.py:53 = 8.55 (outputs/maintenance_scale.csv[growth_penalty_measured_percent]),8.55,8.55,PASS,outputs/maintenance_scale.csv[growth_penalty_measured_percent] where glucose_lower_bound_mmol_per_gdcw_h=-1.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.005)
number claimed in src/ystwin/bridge/stress_energetics.py:54 = 3.75 (outputs/maintenance_scale.csv[growth_penalty_asserted_percent]),3.75,3.75,PASS,outputs/maintenance_scale.csv[growth_penalty_asserted_percent] where glucose_lower_bound_mmol_per_gdcw_h=-10.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.005)
number claimed in src/ystwin/bridge/stress_energetics.py:54 = 0.85 (outputs/maintenance_scale.csv[growth_penalty_measured_percent]),0.85,0.85,PASS,outputs/maintenance_scale.csv[growth_penalty_measured_percent] where glucose_lower_bound_mmol_per_gdcw_h=-10.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.005)
number claimed in src/ystwin/bridge/stress_energetics.py:56 = 21.95 (outputs/maintenance_scale.csv[growth_penalty_asserted_percent]),21.95,21.95,PASS,outputs/maintenance_scale.csv[growth_penalty_asserted_percent] where glucose_lower_bound_mmol_per_gdcw_h=-11.1; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 0.005)
number claimed in src/ystwin/bridge/stress_energetics.py:56 = 5.00 (outputs/maintenance_scale.csv[growth_penalty_measured_percent]),5.00,5,PASS,outputs/maintenance_scale.csv[growth_penalty_measured_percent] where glucose_lower_bound_mmol_per_gdcw_h=-11.1; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 0.005)
number claimed in src/ystwin/pathway/environment_flux.py:16 = 4.33 (outputs/environment_channel.csv[glucose_mg_per_gdw]),4.33,4.33,PASS,outputs/environment_channel.csv[glucose_mg_per_gdw] where growth_rate_per_h=0.05; carbon_source=ethanol (tolerance 0.005)
