condition	strain	mu_per_h	mu_se_per_h	q_glucose	q_glucose_lo95	q_glucose_hi95	q_ethanol	q_ethanol_lo95	q_ethanol_hi95	q_acetate	q_acetate_lo95	q_acetate_hi95	q_glycerol	q_glycerol_lo95	q_glycerol_hi95	q_lycopene	q_lycopene_lo95	q_lycopene_hi95	q_betacarotene	q_betacarotene_lo95	q_betacarotene_hi95	od600	od600_sd	od_to_gdcw_per_l	od_to_gdcw_se	biomass_g_per_l
2D01	b-car2	0.100987987	0.00157339787	-6.68321242	-7.22305483	-6.17593173	6.40031673	5.8728173	6.96114683	0.639409135	0.582064598	0.700315942	0.453146497	0.423870578	0.484350062	9.43761861e-05	8.53704521e-05	0.000104430649	0.000151310101	0.000140302483	0.000163375264	0.811666667	0.0130475322	0.533031075	0.00846675209	0.432643556
2D025	b-car2	0.254320182	0.0014921364	-14.3989951	-15.5377441	-13.3189009	16.1240957	15.2069719	17.2074142	0	0	0	1.35263493	1.1863883	1.52573156	8.42832696e-05	7.40854739e-05	9.49096896e-05	0.000184228136	0.000138752905	0.000230495422	0.3455	0.003	0.533031075	0.00846675209	0.184162237
3D01	b-car3	0.100987987	0.00157339787	-7.13207991	-7.69438613	-6.57955739	6.0108179	5.72459861	6.29960941	0.62349718	0.550312467	0.69776365	0.592372023	0.52764071	0.657989231	0.000472025373	0.000430684073	0.0005184584	0.000227107407	0.00020758371	0.000240908282	0.695	0.00654653671	0.541480099	0.00214784099	0.376328669
3D025	b-car3	0.254320182	0.0014921364	-11.7212153	-17.7904178	-5.66365881	15.8412916	15.0548789	16.6440132	0	0	0	0	0	0	0.000126493013	0.000123181496	0.000129908129	0.000294779456	0.000198627473	0.000391426417	0.179333333	0.00453032113	0.541480099	0.00214784099	0.0971054311
4D01	b-car4	0.100987987	0.00157339787	-5.54473653	-5.94872283	-5.15694719	2.90462951	2.69650104	3.12173233	0.518312275	0.342353226	0.696510032	0.572513679	0.511563461	0.635769628	0.000760748627	0.000647546987	0.00087706293	0.000185290321	0.000166375865	0.000201794688	1.10421053	0.0234676585	0.497781116	0.00624382324	0.549655148
4D025	b-car4	0.254320182	0.0014921364	-14.2821976	-15.6921904	-12.9176452	14.5513924	11.7156397	17.6785295	0	0	0	0	0	0	0.000392904518	0.000352627599	0.000434629744	0.000453632196	0.000361158632	0.000547422995	0.306722222	0.00841431243	0.497781116	0.00624382324	0.15268053
