id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	deltag	deltagerr	pka	pkb	abstract_compound	comprised_of	aliases	smiles	notes
cpd00001	h2o	H2O	H2O	18.0	Primary Database	XLYOFNOQVPJJNP-UHFFFAOYSA-N	0	1	0	null	0	-37.54	0.18	1:1:15.70	1:1:-1.80	null	null	Name: H20; H2O; H3O+; HO-; Hydroxide ion; OH; OH-; Water; hydrogen oxide; hydroxide; hydroxide ion; hydroxyl; hydroxyl ion; oxonium; water|AraCyc: OH; WATER|BiGG: h2o; oh1|BrachyCyc: WATER|KEGG: C00001; C01328|MetaCyc: OH; OXONIUM; WATER	O	GC|EQ|EQU
cpd00002	atp	ATP	C10H13N5O13P3	504.0	Primary Database	ZKHQWZAMYRWXGA-KQYNXXCUSA-K	-3	1	0	null	0	-548.85	0.36	1:14:12.60;1:22:3.29;1:26:0.90;1:29:7.42;1:30:1.55	1:6:-7.46;1:9:-1.06;1:14:-3.85;1:15:4.93	null	null	Name: ATP; Adenosine 5'-triphosphate; adenosine-5'-triphosphate; adenosine-triphosphate; adenylpyrophosphate|AraCyc: ATP|BiGG: atp|BrachyCyc: ATP|KEGG: C00002|MetaCyc: ATP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O	GC|EQ|EQU
cpd00003	nad	NAD	C21H26N7O14P2	662.0	Primary Database	BAWFJGJZGIEFAR-NNYOXOHSSA-M	-1	1	0	null	0	-286.41	1.59	1:6:11.94;1:17:1.85;1:18:2.28;1:25:11.38;1:35:12.70	1:6:-4.22;1:35:-3.85;1:37:-1.05;1:41:4.93;1:43:-7.46	null	null	Name: DPN; DPN+; DPN-ox; Diphosphopyridine nucleotide; NAD; NAD+; NAD-ox; NAD-oxidized; Nadide; Nicotinamide adenine dinucleotide; Nicotinamideadeninedinucleotide; beta-NAD+; beta-nicotinamide adenine dinucleotide; coenzyme I; diphosphopyridine nucleotide; diphosphopyridine nucleotide oxidized; nicotinamide adenine dinucleotide; nicotinamide adenine dinucleotide oxidized|AraCyc: NAD|BiGG: nad|BrachyCyc: NAD|KEGG: C00003|MetaCyc: NAD	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1	GC|EQ|EQU
cpd00004	nadh	NADH	C21H27N7O14P2	663.0	Primary Database	BOPGDPNILDQYTO-NNYOXOHSSA-L	-2	1	0	null	0	-271.15	1.59	1:14:12.28;1:18:14.00;1:22:-7.46;1:26:-1.05;1:36:12.90	1:6:2.28;1:9:1.85;1:14:-3.85;1:15:4.93;1:18:-3.67;1:36:-3.78	null	null	Name: DPNH; NAD-reduced; NADH; NADH+H+; NADH2; Nicotinamide adenine dinucleotide - reduced; Nicotinamideadeninedinucleotide-reduced; Reduced nicotinamide adenine dinucleotide; beta-NADH; dihydrodiphosphopyridine nucleotide; dihydronicotinamide adenine dinucleotide; diphosphopyridine nucleotide reduced; nicotinamide adenine dinucleotide reduced|AraCyc: NADH|BiGG: nadh|BrachyCyc: NADH|KEGG: C00004|MetaCyc: NADH	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	GC|EQ|EQU
cpd00005	nadph	NADPH	C21H26N7O17P3	742.0	Primary Database	ACFIXJIJDZMPPO-NNYOXOHSSA-J	-4	1	0	null	0	-483.1	1.62	1:18:0.90;1:19:5.78;1:26:0.66;1:30:3.26;1:40:12.75	1:11:-7.46;1:12:-1.06;1:22:4.87;1:40:-3.78	null	null	Name: NADP(H); NADP-red; NADP-reduced; NADPH; NADPH+H+; NADPH2; Nicotinamide adenine dinucleotide phosphate - reduced; Nicotinamide adenine dinucleotide phosphate-reduced; Nicotinamideadeninedinucleotidephosphate-reduced; Reduced nicotinamide adenine dinucleotide phosphate; TPNH; beta-NADPH; dihydronicotinamide adenine dinucleotide phosphate; dihydronicotinamide adenine dinucleotide phosphate reduced; dihydronicotinamide adenine dinucleotide-P; dihydrotriphosphopyridine nucleotide; dihydrotriphosphopyridine nucleotide reduced; reduced NADP; reduced dihydrotriphosphopyridine nucleotide; reduced nicotinamide adenine dinucleotide phosphate|AraCyc: NADPH|BiGG: nadph|BrachyCyc: NADPH|KEGG: C00005|MetaCyc: NADPH	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	GC|EQ|EQU
cpd00006	nadp	NADP	C21H25N7O17P3	741.0	Primary Database	XJLXINKUBYWONI-NNYOXOHSSA-K	-3	1	0	null	0	-498.36	1.63	1:18:0.90;1:19:5.78;1:26:3.26;1:30:0.66;1:47:11.66	1:11:-7.46;1:12:-1.06;1:22:4.87	null	null	Name: NADP; NADP(+); NADP+; NADP-ox; NADP-oxidized; Nicotinamide adenine dinucleotide phosphate; Nicotinamide adenine dinucleotide phosphate -; Nicotinamideadeninedinucleotidephosphate; TPN; TPN+; TPN-ox; Triphosphopyridine nucleotide; beta-NADP+; beta-Nicotinamide adenine dinucleotide phosphate; coenzyme II; nicotinamide adenine dinucleotide phosphate; nicotinamide adenine dinucleotide-P; triphosphopyridine nucleotide|AraCyc: NADP|BiGG: nadp|BrachyCyc: NADP|KEGG: C00006|MetaCyc: NADP	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1	GC|EQ|EQU
cpd00007	o2	O2	O2	32.0	Primary Database	MYMOFIZGZYHOMD-UHFFFAOYSA-N	0	1	0	null	0	3.92	0.71			null	null	Name: O2; Oxygen; dioxygen; oxygen; oxygen molecule|AraCyc: OXYGEN-MOLECULE|BiGG: o2|BrachyCyc: OXYGEN-MOLECULE|KEGG: C00007|MetaCyc: OXYGEN-MOLECULE	O=O	GC|EQ|EQU
cpd00008	adp	ADP	C10H13N5O10P2	425.0	Primary Database	XTWYTFMLZFPYCI-KQYNXXCUSA-L	-2	1	0	null	0	-340.04	0.3	1:14:12.46;1:18:13.98;1:22:2.22;1:25:7.42;1:26:1.77	1:6:-7.46;1:9:-1.05;1:14:-3.85;1:15:4.93;1:18:-3.67	null	null	Name: ADP; Adenosine 5'-diphosphate; Adenosine 5'-phosphate; adenosine 5'-pyrophosphate; adenosine pyrophosphate; adenosine-5'-diphosphate; adenosine-5-diphosphate; adenosine-diphosphate|AraCyc: ADP|BiGG: adp|BrachyCyc: ADP|KEGG: C00008; G11113|MetaCyc: ADP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O	GC|EQ|EQU
cpd00009	pi	Phosphate	HO4P	96.0	Primary Database	NBIIXXVUZAFLBC-UHFFFAOYSA-L	-2	1	0	null	0	-252.51	0.18	1:2:12.90;1:3:1.80;1:4:6.95		null	null	Name: H2PO4-; HPO4-2; HPO42-; Orthophosphate; Orthophosphoric acid; PO43-; Phosphate; Phosphoric acid; Pi; dihydrogen phosphate; inorganic phosphate; orthophosphate; phosphate; phosphate-inorganic; phosphoric acid|AraCyc: Pi|BiGG: pi|BrachyCyc: Pi|KEGG: C00009|MetaCyc: CPD-16459; CPD-20124; Pi	O=P([O-])([O-])O	GC|EQ|EQU
cpd00010	coa	CoA	C21H32N7O16P3S	764.0	Primary Database	RGJOEKWQDUBAIZ-IBOSZNHHSA-J	-4	1	0	null	0	-429.53	1.87	1:22:0.92;1:23:5.94;1:26:0.83;1:30:3.27;1:48:10.07	1:8:-7.46;1:9:-1.06;1:17:4.89	null	null	Name: CoA; CoA-SH; Coenzyme A; CoenzymeA; Coenzyme_a; HS-CoA; co-A; co-A-SH; co-enzyme-A; coenzyme A|AraCyc: CO-A|BiGG: coa|BrachyCyc: CO-A|KEGG: C00010|MetaCyc: CO-A	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS	GC|EQ|EQU
cpd00011	co2	CO2	CO2	44.0	Primary Database	CURLTUGMZLYLDI-UHFFFAOYSA-N	0	1	0	null	0	-92.26	0.71			null	null	Name: CO2; Carbon dioxide; carbon dioxide; carbonic acid gas; carbonic anhydride|AraCyc: CARBON-DIOXIDE|BiGG: co2|BrachyCyc: CARBON-DIOXIDE|KEGG: C00011|MetaCyc: CARBON-DIOXIDE	O=C=O	GC|EQ|EQU
cpd00012	ppi	PPi	HO7P2	176.0	Primary Database	XPPKVPWEQAFLFU-UHFFFAOYSA-K	-3	1	0	null	0	-464.02	0.27	1:3:8.17;1:4:1.70;1:7:3.06;1:8:6.98		null	null	Name: Diphosphate; Diphosphoric acid; PP; PPi; Pyrophosphate; Pyrophosphoric acid; diphosphate; pyrophosphate|AraCyc: PPI|BiGG: ppi|BrachyCyc: PPI|KEGG: C00013|MetaCyc: PPI	O=P([O-])([O-])OP(=O)([O-])O	GC|EQ|EQU
cpd00013	nh4	NH3	H4N	18.0	Primary Database	QGZKDVFQNNGYKY-UHFFFAOYSA-O	1	1	0	cpd19013	0	19.05	0.26		1:1:8.86	null	null	Name: Ammonia; Ammonia ion; Ammonium; Ammonium(1+); NH3; NH4+; NH4plus; ammonia; ammonium|AraCyc: AMMONIA; AMMONIUM|BiGG: nh3; nh4|BrachyCyc: AMMONIA; AMMONIUM|KEGG: C00014; C01342|MetaCyc: AMMONIA; AMMONIUM	[NH4+]	GC|EQ|EQU
cpd00014	udp	UDP	C9H12N2O12P2	402.0	Primary Database	XCCTYIAWTASOJW-XVFCMESISA-L	-2	1	0	null	0	-480.68	1.14	1:9:12.62;1:10:9.70;1:14:14.07;1:20:3.21;1:23:1.77;1:24:7.42	1:3:-4.29;1:9:-3.79;1:14:-3.66;1:17:-5.40	null	null	Name: UDP; Uridine 5'-diphosphate; uridine-5'-diphosphate; uridine-diphosphate|AraCyc: UDP|BiGG: udp|BrachyCyc: UDP|KEGG: C00015; G10619|MetaCyc: UDP	O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1	GC|EQ|EQU
cpd00015	fad	FAD	C27H31N9O15P2	783.0	Primary Database	IMGVNJNCCGXBHD-UYBVJOGSSA-K	-2	1	0	null	0	-229.75	2.22	1:1:6.01;1:31:2.28;1:35:1.85;1:42:13.98;1:43:12.46	1:42:-3.67;1:43:-3.85;1:44:4.89;1:46:-7.46;1:52:-1.05	null	null	Name: FAD; Flavin adenine dinucleotide; Flavin adenine dinucleotide oxidized; Flavin_adenine_dinucleotide; Flavinadeninedinucleotideoxidized; flavin adenine dinucleotide; flavin adenine dinucleotide oxidized; flavitan|AraCyc: FAD|BiGG: fad|BrachyCyc: FAD|KEGG: C00016|MetaCyc: FAD	Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C	GC|EQ|EQU
cpd00016	pydx5p	Pyridoxal phosphate	C8H8NO6P	246.0	Primary Database	NGVDGCNFYWLIFO-UHFFFAOYSA-L	-2	1	0	null	0	-202.34	0.93	1:10:8.00;1:14:1.68;1:15:6.69	1:7:4.11;1:10:-5.84	null	null	Name: PLP; Pyridoxal 5'-phosphate; Pyridoxal 5-phosphate; Pyridoxal phosphate; pyridoxal 5'-phosphate; pyridoxal 5-phosphate; pyridoxal phosphate; pyridoxal-5P; pyridoxal-P; vitamin B6|AraCyc: PYRIDOXAL_PHOSPHATE|BiGG: pydx5p|BrachyCyc: PYRIDOXAL_PHOSPHATE|KEGG: C00018|MetaCyc: PYRIDOXAL_PHOSPHATE	Cc1ncc(COP(=O)([O-])[O-])c(C=O)c1O	GC|EQ|EQU
cpd00017	amet	S-Adenosyl-L-methionine	C15H23N6O5S	399.0	Primary Database	MEFKEPWMEQBLKI-AIRLBKTGSA-O	1	1	0	null	0	-66.63	3.68	1:14:12.44;1:18:13.95;1:26:1.70	1:6:-7.46;1:9:-1.05;1:14:-3.85;1:15:3.94;1:18:-3.68;1:25:9.41	null	null	Name: 2-S-adenosyl-L-methionine; Acylcarnitine; AdoMet; S-ADENOSYLMETHIONINE; S-Adenosyl-L-methionine; S-Adenosylmethionine; S-adenosyl-L-methionine; S-adenosyl-methionine; S-adenosylmethionine; SAM; adenosylmethionine|AraCyc: S-ADENOSYLMETHIONINE|BiGG: amet|BrachyCyc: S-ADENOSYLMETHIONINE|KEGG: C00019|MetaCyc: S-ADENOSYLMETHIONINE	C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	GC|EQ
cpd00018	amp	AMP	C10H12N5O7P	346.0	Primary Database	UDMBCSSLTHHNCD-KQYNXXCUSA-L	-2	1	0	null	0	-130.8	0.29	1:14:12.46;1:16:18.54;1:18:13.98;1:21:1.23;1:22:6.27	1:6:-7.46;1:9:-1.05;1:14:-3.85;1:15:3.92;1:16:-6.38;1:18:-3.67	null	null	Name: 5'-AMP; 5'-Adenosine monophosphate; 5'-Adenylic acid; 5'-adenosine monophosphate; 5'-adenylic acid; AMP; Adenosine 5'-monophosphate; Adenosine 5'-phosphate; Adenylate; Adenylic acid; adenosine 5'-monophosphate; adenosine 5'-phosphate; adenosine-5'-phosphate; adenosine-monophosphate; adenosine-phosphate; adenylate; adenylic acid|AraCyc: AMP|BiGG: amp|BrachyCyc: AMP|KEGG: C00020|MetaCyc: AMP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	GC|EQ|EQU
cpd00019	ahcys	S-Adenosyl-homocysteine	C14H20N6O5S	384.0	Primary Database	ZJUKTBDSGOFHSH-WFMPWKQPSA-N	0	1	0	null	0	115.75	0.96	1:6:12.47;1:8:14.01;1:24:1.81	1:6:-3.85;1:8:-3.65;1:12:-1.05;1:14:-7.46;1:16:3.94;1:25:9.50	null	null	Name: 2-S-adenosyl-L-homocysteine; AdoHcy; S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine; S-adenosyl-L-homocysteine; S-adenosyl-homocysteine; S-adenosylhomocysteine; SAH; adenosyl-homo-cys; adenosylhomo-cys; adenosylhomocysteine; s-adenosyl-homocysteine|AraCyc: ADENOSYL-HOMO-CYS|BiGG: ahcys|BrachyCyc: ADENOSYL-HOMO-CYS|KEGG: C00021|MetaCyc: ADENOSYL-HOMO-CYS	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O	GC|EQ|EQU
cpd00020	pyr	Pyruvate	C3H3O3	87.0	Primary Database	LCTONWCANYUPML-UHFFFAOYSA-M	-1	1	0	null	0	-82.56	0.18	1:4:2.93	1:5:-9.58	null	null	Name: 2-Oxopropanoate; 2-Oxopropanoic acid; 2-oxo-propionic acid; 2-oxopropanoate; 2-oxopropanoic acid; BTS; Pyroracemic acid; Pyruvate; Pyruvic acid; acetylformic acid; alpha-ketopropionic acid; pyroracemic acid; pyruvate; pyruvic acid|AraCyc: PYRUVATE|BiGG: pyr|BrachyCyc: PYRUVATE|KEGG: C00022|MetaCyc: PYRUVATE	CC(=O)C(=O)[O-]	GC|EQ|EQU
cpd00021	Iron	Fe	Fe	56.0	Primary Database	XEEYBQQBJWHFJM-UHFFFAOYSA-N	0	1	0	null	0	-0.0	0.71			null	null	Name: Iron|KEGG: C00023|iMO1053-PAO1: fe2	[Fe]	GC|EQ|EQU
cpd00022	accoa	Acetyl-CoA	C23H34N7O17P3S	806.0	Primary Database	ZSLZBFCDCINBPY-ZSJPKINUSA-J	-4	1	0	null	0	-443.56	1.86	1:24:3.27;1:31:12.61;1:34:0.92;1:35:5.94;1:49:0.83	1:31:-3.87;1:41:-1.06;1:43:4.89;1:45:-7.46	null	null	Name: Acetyl coenzyme A; Acetyl-CoA; ac-CoA; ac-S-CoA; acetyl coenzyme-A; acetyl-CoA; acetyl-S-CoA; acetylcoenzyme-A|AraCyc: ACETYL-COA|BiGG: accoa|BrachyCyc: ACETYL-COA|KEGG: C00024|MetaCyc: ACETYL-COA	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	GC|EQ|EQU
cpd00023	glu-L	L-Glutamate	C5H8NO4	146.0	Primary Database	WHUUTDBJXJRKMK-VKHMYHEASA-M	-1	1	0	null	0	-87.67	0.3	1:6:1.88;1:9:4.27	1:4:9.54	null	null	Name: 1-amino-propane-1,3-dicarboxylic acid; 2-aminopentanedioic acid; GLU; Glutamate; Glutaminic acid; L-Glutamate; L-Glutamic acid; L-Glutaminic acid; L-glu; L-glutamate; L-glutamic acid; alpha-aminoglutaric acid; glt; glu; glut; glutacid; glutamate; glutaminic acid|AraCyc: GLT|BiGG: glu__L|BrachyCyc: GLT|KEGG: C00025|MetaCyc: GLT	[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]	GC|EQ|EQU
cpd00024	akg	2-Oxoglutarate	C5H4O5	144.0	Primary Database	KPGXRSRHYNQIFN-UHFFFAOYSA-L	-2	1	0	null	0	-150.81	0.32	1:6:2.66;1:10:3.87	1:4:-9.67	null	null	Name: 2-Ketoglutaric acid; 2-Oxoglutarate; 2-ketoglutarate; 2-ketoglutaric acid; 2-oxoglutarate; 2-oxoglutaric acid; 2-oxopentanedionate; 2-oxopentanedionic acid; Oxoglutaric acid; a-ketoglutaric acid; alpha-Ketoglutaric acid; alpha-ketoglutarate; alpha-ketoglutaric acid; alpha-oxoglutarate; ketoglutarate|AraCyc: 2-KETOGLUTARATE|BiGG: akg|BrachyCyc: 2-KETOGLUTARATE|KEGG: C00026|MetaCyc: 2-KETOGLUTARATE	O=C([O-])CCC(=O)C(=O)[O-]	GC|EQ|EQU
cpd00025	h2o2	H2O2	H2O2	34.0	Primary Database	MHAJPDPJQMAIIY-UHFFFAOYSA-N	0	1	0	null	0	-12.55	0.71	1:1:11.52;1:2:14.40	1:1:-4.19;1:2:-4.19	null	null	Name: H2O2; Hydrogen peroxide; Hydrogenperoxide; Oxydol; hydrogen peroxide; hydroperoxide; perhydrol|AraCyc: HYDROGEN-PEROXIDE|BiGG: h2o2|BrachyCyc: HYDROGEN-PEROXIDE|KEGG: C00027|MetaCyc: HYDROGEN-PEROXIDE	OO	GC|EQ|EQU
cpd00026	udpg	UDP-glucose	C15H22N2O17P2	564.0	Primary Database	HSCJRCZFDFQWRP-JZMIEXBBSA-L	-2	1	0	null	0	-762.55	3.12	1:9:12.66;1:10:9.70;1:14:14.05;1:20:3.18;1:24:1.73;1:31:12.07;1:34:14.82;1:35:13.26	1:9:-3.79;1:14:-3.66;1:31:-3.96;1:34:-3.68;1:35:-3.65	null	null	Name: UDP-D-glucose; UDP-alpha-D-glucose; UDP-glucose; UDPG; UDPglucose; Uridine diphosphate glucose|AraCyc: CPD-12575|BiGG: udpg|CornCyc: CPD-12575|KEGG: C00029; G10608|MetaCyc: CPD-12575	O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	GC
cpd00027	glc-D	D-Glucose	C6H12O6	180.0	Primary Database	WQZGKKKJIJFFOK-GASJEMHNSA-N	0	1	0	null	0	-102.12	0.16	1:6:12.69;1:8:15.12;1:10:14.51;1:11:11.30;1:12:13.58	1:3:-4.39;1:6:-3.65;1:8:-2.98;1:10:-3.68;1:11:-4.39;1:12:-3.94	null	null	Name: D-(+)-Glucose; D-Glucopyranose; D-Glucose; Dextrose; Glucopyranose; Glucose; Grape sugar|AlgaGEM: S_D_45_Glucose_c; S_Glucose_c; S_Glucose_ext_b; S_Glucose_p|AraGEM: S_D_45_Glucose_c|BiGG: glc__D|KEGG: C00031; C00293|MetaCyc: Glucopyranose	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	GC|EQ|EQU
cpd00028	pheme	Heme	C34H30FeN4O4	614.0	Primary Database	KABFMIBPWCXCRK-RGGAHWMASA-J	-2	1	0	null	0	10000000.0	10000000.0	1:35:4.27;1:39:3.72	1:9:2.99;1:19:2.42	null	null	Name: Haem; Heme; Heme B; Protoheme; Protoheme IX; ferroheme b; ferroprotoporphyrin IX; heme b; protoheme; protoheme IX|AraCyc: PROTOHEME|BiGG: pheme|BrachyCyc: PROTOHEME|KEGG: C00032|MetaCyc: PROTOHEME	C=CC1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C=C)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C	GC
cpd00029	ac	Acetate	C2H3O2	59.0	Primary Database	QTBSBXVTEAMEQO-UHFFFAOYSA-M	-1	1	0	null	0	-58.88	0.24	1:3:4.54		null	null	Name: ACET; Acetate; Acetic acid; Ethanoic acid; Glacial acetic acid; acetate; acetic acid; ethanoic acid|AraCyc: ACET|BiGG: ac|BrachyCyc: ACET|KEGG: C00033|MetaCyc: ACET	CC(=O)[O-]	GC|EQ|EQU
cpd00030	mn2	Mn2+	Mn	55.0	Primary Database	WAEMQWOKJMHJLA-UHFFFAOYSA-N	2	1	0	cpd20863	0	10000000.0	10000000.0	1:1:3.09		null	null	Name: Manganese; Manganese(2+); Mn(II); Mn++; Mn+2; Mn2+; manganese (II) ion; manganese ion|AraCyc: MN+2|BiGG: mn2|BrachyCyc: MN+2|KEGG: C19610|MetaCyc: MN+2	[Mn+2]	GC
cpd00031	gdp	GDP	C10H13N5O11P2	441.0	Primary Database	QGWNDRXFNXRZMB-UUOKFMHZSA-L	-2	1	0	null	0	-516.3	2.74	1:14:12.46;1:15:10.16;1:19:13.98;1:23:3.21;1:26:1.79;1:27:7.42	1:6:-2.77;1:9:0.48;1:14:-3.85;1:19:-3.67	null	null	Name: GDP; Guanosine 5'-diphosphate; Guanosine diphosphate; guanosine-5'-diphosphate; guanosine-diphosphate; ppG|AraCyc: GDP|BiGG: gdp|BrachyCyc: GDP|KEGG: C00035; G10620|MetaCyc: GDP	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1	GC|EQ
cpd00032	oaa	Oxaloacetate	C4H2O5	130.0	Primary Database	KHPXUQMNIQBQEV-UHFFFAOYSA-L	-2	1	0	null	0	-170.86	0.26	1:1:3.58;1:3:15.78;1:6:2.41	1:8:-9.87	null	null	Name: 2-Oxobutanedioic acid; 2-Oxosuccinic acid; Oxalacetic acid; Oxaloacetate; Oxaloacetic acid; Oxosuccinic acid; keto-Oxaloacetate; keto-oxaloacetate; oxalacetate; oxalacetic acid; oxaloacetate; oxaloacetic acid|AraCyc: OXALACETIC_ACID|BiGG: oaa|BrachyCyc: OXALACETIC_ACID|KEGG: C00036|MetaCyc: OXALACETIC_ACID	O=C([O-])CC(=O)C(=O)[O-]	GC|EQ|EQU
cpd00033	gly	Glycine	C2H5NO2	75.0	Primary Database	DHMQDGOQFOQNFH-UHFFFAOYSA-N	0	1	0	null	0	-41.92	0.33	1:3:2.31	1:5:9.24	null	null	Name: Aminoacetic acid; Gly; Glycine; aminoacetic acid; gly; glycine|AraCyc: GLY|BiGG: gly|BrachyCyc: GLY|KEGG: C00037|MetaCyc: GLY	[NH3+]CC(=O)[O-]	GC|EQ|EQU
cpd00034	zn2	Zn2+	Zn	65.0	Primary Database	PTFCDOFLOPIGGS-UHFFFAOYSA-N	2	1	0	null	0	10000000.0	10000000.0	1:1:3.09		null	null	Name: Zinc; Zinc cation; Zinc ion; Zn; Zn(II); Zn++; Zn+2; Zn2+; zinc ion|AraCyc: ZN+2|BiGG: zn2|BrachyCyc: ZN+2|KEGG: C00038|MetaCyc: ZN+2	[Zn+2]	GC
cpd00035	ala-L	L-Alanine	C3H7NO2	89.0	Primary Database	QNAYBMKLOCPYGJ-REOHCLBHSA-N	0	1	0	null	0	-19.5	0.28	1:1:2.47	1:6:9.48	null	null	Name: L-2-Aminopropionic acid; L-Alanine; L-alanine; L-alpha-Alanine; L-alpha-alanine; ala; alanine|AraCyc: L-ALPHA-ALANINE|BiGG: ala__L|BrachyCyc: L-ALPHA-ALANINE|KEGG: C00041|MetaCyc: L-ALPHA-ALANINE	C[C@H]([NH3+])C(=O)[O-]	GC|EQ|EQU
cpd00036	succ	Succinate	C4H4O4	116.0	Primary Database	KDYFGRWQOYBRFD-UHFFFAOYSA-L	-2	1	0	null	0	-123.95	0.45	1:1:3.55;1:6:5.69		null	null	Name: Butanedionic acid; Ethylenesuccinic acid; Succinate; Succinic acid; butanedioic acid; ethylenesuccinic acid; suc; succ; succinate; succinic acid|AraCyc: SUC|BiGG: succ|BrachyCyc: SUC|KEGG: C00042|MetaCyc: SUC	O=C([O-])CCC(=O)[O-]	GC|EQ|EQU
cpd00037	uacgam	UDP-N-acetylglucosamine	C17H25N3O17P2	605.0	Primary Database	LFTYTUAZOPRMMI-CFRASDGPSA-L	-2	1	0	null	0	-502.62	1.46	1:9:12.59;1:10:9.70;1:14:13.11;1:20:3.18;1:24:1.74;1:30:12.03;1:33:14.55;1:36:13.94	1:9:-3.79;1:14:-3.66;1:33:-3.52;1:36:-3.63	null	null	Name: N-[2-[[[5-[(2,4-dioxo-1H-pyrimidin-1-yl)]-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphinoyl]oxy-hydroxy-phosphinoyl]oxy-4,5-dihydroxy-6-(hydroxymethyl)tetrahydropyran-3-yl]acetamide; UDP-2-acetamido-2-deoxy-alpha-D-glucose; UDP-GlcNAc; UDP-N-acetyl-D-glucosamine; UDP-N-acetyl-alpha-D-glucosamine; UDP-N-acetyl-glucosamine; UDP-N-acetylglucosamine; UDP-acetyl-D-glucosamine; UDP-alpha-N-acetyl-D-glucosamine; uridine diphosphate N-acetylglucosamine|AraCyc: UDP-N-ACETYL-D-GLUCOSAMINE|BiGG: uacgam|BrachyCyc: UDP-N-ACETYL-D-GLUCOSAMINE|KEGG: C00043; G10610|MetaCyc: UDP-N-ACETYL-D-GLUCOSAMINE	CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O	GC|EQ|EQU
