id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	deltag	deltagerr	pka	pkb	abstract_compound	comprised_of	aliases	smiles	notes
cpd34904	12-hydroxy-9-octadecenoyl-CoA	12-hydroxy-9-octadecenoyl-CoA	C39H64N7O18P3S	1043.952	Primary Database	BHVZCCKRRPYXCV-MGNVXPIMSA-J	-4	0	0	null	0	-143.04	2.6	1:50:12.61;1:53:0.92;1:55:5.94;1:56:0.83;1:58:3.27	1:43:4.89;1:44:-7.46;1:45:-1.06;1:50:-3.87	null	null	Name: 12-hydroxy-9-octadecenoyl-CoA; ricinoleoyl-CoA|MetaCyc: CPD-15364	CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	GC|EQ|EQU
cpd34905	2',3'-diacyl-alpha,alpha-trehalose-2-sulfate	2',3'-diacyl-alpha,alpha-trehalose-2-sulfate	C65H123O17S	1208.736	Primary Database	HJAKHOUALDNGGZ-COTXUEBMSA-M	-1	0	0	null	0	-537.49	4.72	1:66:15.06;1:67:14.53;1:68:19.07;1:70:13.97;1:71:12.52;1:72:13.14;1:76:-2.04	1:66:-2.98;1:67:-2.98;1:68:-0.98;1:70:-3.65;1:71:-3.66;1:72:-3.71;1:78:-4.40	null	null	Name: 2',3'-diacyl-alpha,alpha-trehalose-2-sulfate; 2-O-sulfo-2',3'-diacyl-alpha,alpha-trehalose; 3'-hydroxyphthioceranyl-2'-palmitoyl-2-O-sulfo-alpha,alpha-trehalose; SL1278|MetaCyc: CPD-18706	CCCCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](OC(=O)[C@@H](C)C[C@@H](C)C[C@@H](C)C[C@@H](C)C[C@@H](C)C[C@@H](C)C[C@@H](C)[C@H](O)CCCCCCCCCCCCCCC)[C@H](O)[C@@H](CO)O[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OS(=O)(=O)[O-]	GC
cpd34906	(3R,4R)-3-[(1R)-1-hydroxy-6-methylheptyl]-4-(hydroxymethyl)oxolan-2-one	(3R,4R)-3-[(1R)-1-hydroxy-6-methylheptyl]-4-(hydroxymethyl)oxolan-2-one	C13H24O4	244.33	Primary Database	XRKZVXDFKCVICZ-IJLUTSLNSA-N	0	0	0	null	0	-130.18	1.12	1:14:15.45;1:15:14.60	1:14:-2.64;1:15:-2.94;1:16:-7.11	null	null	Name: (3R,4R)-3-[(1R)-1-hydroxy-6-methylheptyl]-4-(hydroxymethyl)oxolan-2-one; SCB1|MetaCyc: CPD-19918	CC(C)CCCC[C@@H](O)[C@@H]1C(=O)OC[C@H]1CO	GC
cpd34907	nannochelin B	nannochelin B	C37H44N4O13	752.774	Primary Database	MSIKUOJWOBZEKW-UYXGXLLSSA-L	-2	0	0	null	0	-335.51	3.79	1:38:14.13;1:39:12.13;1:47:3.19;1:50:3.85;1:51:13.33;1:52:8.48;1:53:9.09	1:51:-4.15;1:52:-5.52;1:53:-5.52	null	null	Name: nannochelin B|MetaCyc: CPD-21043	COC(=O)[C@H](CCCCN(O)C(=O)/C=C/c1ccccc1)NC(=O)CC(O)(CC(=O)N[C@@H](CCCCN(O)C(=O)/C=C/c1ccccc1)C(=O)[O-])C(=O)[O-]	GC
cpd34908	2-(3-phenylpropanamido)acetate	2-(3-phenylpropanamido)acetate	C11H12NO3	206.221	Primary Database	YEIQSAXUPKPPBN-UHFFFAOYSA-M	-1	0	0	null	0	36.11	0.73	1:12:15.81;1:15:4.00	1:13:-2.06	null	null	Name: 2-(3-phenylpropanamido)acetate; N-(3-phenylpropanoyl)glycine; phenylpropionylglycine|MetaCyc: CPD-16822	O=C([O-])CNC(=O)CCc1ccccc1	GC|EQ|EQU
cpd34909	(+)-hedycaryol	(+)-hedycaryol	C15H26O	222.37	Primary Database	SDMLCXJKAYFHQM-OMCWFWFASA-N	0	0	0	null	0	10000000.0	10000000.0	1:16:19.47	1:16:-0.84	null	null	Name: (+)-hedycaryol; (1E,4E,7S)-germacra-1(10),4-dien-11-ol; (2E,6E)-hedycaryol|MetaCyc: CPD-20143	C/C1=C/CC/C(C)=C/C[C@@H](C(C)(C)O)CC1	GC
cpd34910	3-O-methylphospho-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol	3-O-methylphospho-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol	C142H235NO81P3R	10000000.0	Primary Database		-3	0	0	null	0	10000000.0	10000000.0	1:143:11.60;1:181:12.31;1:182:12.01;1:183:12.62;1:184:13.02;1:187:1.49;1:189:3.19;1:190:2.09	1:181:-3.95;1:182:-3.95;1:183:-3.95;1:184:-3.95	null	null	Name: 3-O-methylphospho-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol|MetaCyc: CPD-15546	COP(=O)([O-])O[C@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H]1[C@@H](O*O[C@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2O[C@@H]2[C@H](O)[C@@H](O[C@@H]3[C@H](O)[C@@H](O[C@H]4[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]4O[C@@H]4[C@H](O)[C@@H](O[C@@H]5[C@H](O)[C@@H](O[C@@H]6[C@H](O)[C@@H](O[C@H]7[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]7O[C@H]7[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]7O[C@@H]7[C@H](O)[C@@H](O[C@@H]8[C@H](O)[C@@H](O[C@H]9[C@H](O)[C@@H](CO)O[C@H](OP(=O)([O-])OP(=O)([O-])OC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)[C@@H]9NC(C)=O)O[C@H](CO)[C@H]8O)O[C@H](CO)[C@H]7O)O[C@H](CO)[C@H]6O)O[C@H](CO)[C@H]5O)O[C@H](CO)[C@H]4O)O[C@H](CO)[C@H]3O)O[C@H](CO)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O	GC
cpd34911	5-methoxy-7-hydroxycoumarin	5-methoxy-7-hydroxycoumarin	C10H8O4	192.171	Primary Database	IFIRYJJHHOCCHT-UHFFFAOYSA-N	0	0	0	null	0	-91.5	1.83	1:11:7.92	1:11:-6.95;1:12:-6.98;1:13:-4.86	null	null	Name: 5-methoxy-7-hydroxycoumarin|MetaCyc: CPD-19825	COc1cc(O)cc2oc(=O)ccc12	GC
cpd34912	4-phenyl-1-butanesulfonate	4-phenyl-1-butanesulfonate	C10H13O3S	213.271	Primary Database	PNLGRFATDRYEGI-UHFFFAOYSA-M	-1	0	0	null	0	-85.67	1.13	1:12:-0.57		null	null	Name: 4-phenyl-1-butanesulfonate; 4-phenylbutane-1-sulfonate|MetaCyc: CPD0-2545	O=S(=O)([O-])CCCCc1ccccc1	GC
cpd34913	1-propene, 2-chloro-	1-propene, 2-chloro-	C3H5Cl	76.525	Primary Database	PNLQPWWBHXMFCA-UHFFFAOYSA-N	0	0	0	null	0	11.54	0.67			null	null	Name: 1-propene, 2-chloro-; 2-chloro-1-propene; 2-chloroprop-1-ene; 2-chloropropene; 2-chloropropylene; beta-chloropropene; beta-chloropropylene; isopropenyl chloride|MetaCyc: CPD-16022	C=C(C)Cl	GC|EQ
