strain	cultivation	phb_plasmid	acetyl_coa_plasmid	deletion	carbon_source	carbon_g_per_l	mu_max_per_h	mu_max_sd_per_h	mu_max_panel_lo_per_h	mu_max_panel_hi_per_h	q_glucose_g_per_gdw_h	q_glucose_sd	y_biomass_glucose_g_per_g	y_biomass_glucose_sd	y_ethanol_glucose_g_per_g	y_ethanol_glucose_sd	y_glycerol_glucose_g_per_g	y_glycerol_glucose_sd	y_acetate_glucose_g_per_g	y_acetate_glucose_sd	y_phb_glucose_mg_per_g	y_phb_glucose_sd	y_biomass_ethanol_g_per_g	y_biomass_ethanol_sd	y_phb_ethanol_mg_per_g	y_phb_ethanol_sd	q_phb_glucose_phase_reported_umol_per_gdw_h	q_phb_glucose_phase_reported_sd	phb_titre_max_mg_per_l	phb_titre_max_phase	phb_content_mg_per_gdw	acetate_max_g_per_l	acetate_max_sd	acetate_120h_lower_bound_g_per_l	n_replicates	provenance
SCKK005	bioreactor_batch	pKK01	pIYC04_empty	none	glucose	20	0.27	0.02	NA	NA	1.80	0.09	0.15	0.01	0.35	0.05	0.05	0.00	0.02	0.00	0.02	0.01	0.46	0.27	0.22	0.04	NA	NA	1.85	ethanol	NA	0.42	0	NA	>=3	Table3 for every yield and rate; Results text for phb_titre_max and acetate_max
SCKK006	bioreactor_batch	pKK01	pIYC08_boost	none	glucose	20	0.28	0.00	NA	NA	2.24	0.33	0.13	0.02	0.35	0.07	0.07	0.00	0	NA	0.13	0.02	0.45	0.08	6.09	1.44	99.3	4	43.11	ethanol	NA	0.12	0.01	NA	>=3	Table3 for every yield and rate; Results text for q_phb_reported, phb_titre_max and acetate_max. SEE SOURCE.md: q_phb_glucose_phase_reported is 30.5x larger than Table3 implies and MUST NOT be used unresolved
SCKK005	shake_flask	pKK01	pIYC04_empty	none	glucose	20	NA	NA	0.18	0.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Table2 for the genotype; Discussion text for the panel mu range. Every quantity is Figure 2 only
SCKK006	shake_flask	pKK01	pIYC08_boost	none	glucose	20	NA	NA	0.18	0.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Table2 for the genotype; Discussion text for the panel mu range. Every quantity is Figure 2 only
SCKK009	shake_flask	pKK01	pIYC08_boost	cit2	glucose	20	NA	NA	0.18	0.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.5	NA	Table2 for the genotype; Discussion text for the panel mu range; Results text for the acetate lower bound. Every other quantity is Figure 2 only
SCKK010	shake_flask	pKK01	pIYC08_boost	mls1	glucose	20	NA	NA	0.18	0.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Table2 for the genotype; Discussion text for the panel mu range. Every quantity is Figure 2 only
