construct	dose_mM	derived_fold	derived_half_sd	workbook_fold	difference
UPRE1	0.0	1.0	0.0	1.0	0.0
UPRE1	0.1	1.0036503914423485	0.019575068900261675	1.0036503914423485	0.0
UPRE1	0.2	1.0218080962687706	0.02246904639579691	1.0218080962687706	0.0
UPRE1	0.5	0.9975971891222396	0.039277810244044024	0.9975971891222396	0.0
UPRE1	1.0	0.9089933797720481	0.04159621125545834	0.9089933797720481	0.0
UPRE1	2.0	0.5087976692751656	0.10744698579155448	0.5087976692751656	0.0
UPRE1	4.0	0.26808425404494657	0.015053107239799886	0.26808425404494657	0.0
UPRE2	0.0	1.0	0.0	1.0	0.0
UPRE2	0.1	1.0221311676658988	0.00999907998169036	1.0221311676658988	0.0
UPRE2	0.2	1.020512070845782	0.008508318346328298	1.020512070845782	0.0
UPRE2	0.5	1.0140403649218868	0.008357980730610394	1.0140403649218868	0.0
UPRE2	1.0	0.8402750781960888	0.11290747342143605	0.8402750781960888	0.0
UPRE2	2.0	0.3463140936564297	0.019862247494091528	0.3463140936564297	0.0
UPRE2	4.0	0.27370450583342887	0.037611249455146094	0.27370450583342887	0.0
NativeYap1	0.0	1.0	0.0	1.0	0.0
NativeYap1	0.1	1.0590754612587108	0.036419793930238364	1.0802742155185394	-0.021198754259828645
NativeYap1	0.2	1.0632444775715326	0.028745215270546423	1.1026191463742325	-0.03937466880269991
NativeYap1	0.5	1.1435845020394917	0.04197132175114094	1.1459202464391565	-0.002335744399664774
NativeYap1	1.0	1.2012582223842665	0.061177301454545086	1.1014332231617754	0.0998249992224911
NativeYap1	2.0	1.2538968386847553	0.06646556513825938	1.1583935535205494	0.09550328516420592
NativeYap1	5.0	1.078813067614045	0.03917628481071088	0.9972239522155437	0.08158911539850133
AlteredYap1	0.0	1.0	0.0	1.0	0.0
AlteredYap1	0.1	1.035600064855122	0.023612861906863375	1.0515518898219776	-0.015951824966855543
AlteredYap1	0.2	1.0618517104073595	0.027305294053356088	1.094956398698561	-0.03310468829120161
AlteredYap1	0.5	1.1070830447651778	0.0400066517327701	1.0962646934867675	0.010818351278410354
AlteredYap1	1.0	1.1809067069095738	0.04464111248177016	1.0573471109546613	0.1235595959549125
AlteredYap1	2.0	1.1975954547944065	0.0879164615054817	1.1158546394728626	0.08174081532154398
AlteredYap1	5.0	1.0454239810590416	0.017966652265840377	0.9587627818322377	0.08666119922680382
