construct,dose_mM,elapsed_min,signal
UPRE1,2.0,170.0,8765.910912897627
UPRE1,5.0,170.0,7469.727186720563
UPRE1,0.0,180.0,4246.203427115795
UPRE1,0.1,180.0,4617.269932031503
UPRE1,0.2,180.0,5044.147427731264
UPRE1,0.5,180.0,5774.497782369171
UPRE1,1.0,180.0,8367.456170372063
UPRE1,2.0,180.0,9081.426476653583
UPRE1,5.0,180.0,7609.290453154397
UPRE1,0.0,190.0,4356.536545335799
UPRE1,0.1,190.0,4845.177783405318
UPRE1,0.2,190.0,5195.392585721033
UPRE1,0.5,190.0,6009.510398187762
UPRE1,1.0,190.0,8584.188724078227
UPRE1,2.0,190.0,9304.128308157522
UPRE1,5.0,190.0,7900.88473561814
UPRE1,0.0,200.0,4518.144577369804
UPRE1,0.1,200.0,4969.420440246473
UPRE1,0.2,200.0,5432.275547718972
UPRE1,0.5,200.0,6232.008492028272
UPRE1,1.0,200.0,8745.193748169937
UPRE1,2.0,200.0,9667.06128473683
UPRE1,5.0,200.0,8082.464960054094
UPRE1,0.0,210.0,4747.27174381573
UPRE1,0.1,210.0,5205.792029249178
UPRE1,0.2,210.0,5634.85487622183
UPRE1,0.5,210.0,6418.079411317135
UPRE1,1.0,210.0,9060.687129114385
UPRE1,2.0,210.0,9820.87005339523
UPRE1,5.0,210.0,8210.22084316882
UPRE1,0.0,220.0,4946.207609296513
UPRE1,0.1,220.0,5390.010738325345
UPRE1,0.2,220.0,5853.114027484206
UPRE1,0.5,220.0,6713.0940985366
UPRE1,1.0,220.0,9189.395939546592
UPRE1,2.0,220.0,10092.961439278197
UPRE1,5.0,220.0,8377.21088435374
UPRE1,0.0,230.0,5145.412756515532
UPRE1,0.1,230.0,5630.712432509538
UPRE1,0.2,230.0,6088.238492437125
UPRE1,0.5,230.0,6922.901412026799
UPRE1,1.0,230.0,9399.884062986219
UPRE1,2.0,230.0,10315.533697900946
UPRE1,5.0,230.0,8618.826403671867
UPRE1,0.0,240.0,5356.280625464994
UPRE1,0.1,240.0,5791.640567631889
UPRE1,0.2,240.0,6307.34821895866
UPRE1,0.5,240.0,7210.292023460289
UPRE1,1.0,240.0,9599.09109345569
UPRE1,2.0,240.0,10427.271460083575
UPRE1,5.0,240.0,8764.139823289353
UPRE2,0.0,0.0,2586.0047309245642
UPRE2,0.1,0.0,2683.2942348529878
UPRE2,0.2,0.0,2757.5123951878236
UPRE2,0.5,0.0,2645.8500347389236
UPRE2,1.0,0.0,2605.414574551101
UPRE2,2.0,0.0,2593.7120748204643
UPRE2,5.0,0.0,2714.063171465406
UPRE2,0.0,10.0,2653.148828393633
UPRE2,0.1,10.0,2721.6050404709345
UPRE2,0.2,10.0,2769.710260499734
UPRE2,0.5,10.0,2790.416856031914
UPRE2,1.0,10.0,2744.2534706761257
UPRE2,2.0,10.0,2678.3373607695776
UPRE2,5.0,10.0,2652.785604518905
UPRE2,0.0,20.0,2708.694345971279
UPRE2,0.1,20.0,2739.04062264105
UPRE2,0.2,20.0,2806.759915629634
UPRE2,0.5,20.0,2731.3915419178575
UPRE2,1.0,20.0,2740.880590798086
UPRE2,2.0,20.0,2835.467125233561
UPRE2,5.0,20.0,2803.490097375103
UPRE2,0.0,30.0,2725.8797410795482
UPRE2,0.1,30.0,2848.3099855754554
UPRE2,0.2,30.0,2832.6290512337023
UPRE2,0.5,30.0,2970.715664264051
UPRE2,1.0,30.0,2897.312450621275
UPRE2,2.0,30.0,2955.733331617072
UPRE2,5.0,30.0,2855.20856969972
UPRE2,0.0,40.0,2709.112788702518
UPRE2,0.1,40.0,2853.664137019734
UPRE2,0.2,40.0,2770.3066267048976
UPRE2,0.5,40.0,3092.456324248777
UPRE2,1.0,40.0,3271.3925059792723
UPRE2,2.0,40.0,3192.167864770596
UPRE2,5.0,40.0,3045.4546886220755
UPRE2,0.0,50.0,2902.7474699050676
UPRE2,0.1,50.0,2961.549439347604
UPRE2,0.2,50.0,2991.310975268043
UPRE2,0.5,50.0,3312.630623135767
UPRE2,1.0,50.0,3540.7795292705778
UPRE2,2.0,50.0,3418.757311805588
UPRE2,5.0,50.0,3209.24059233469
UPRE2,0.0,60.0,2943.3818102020864
UPRE2,0.1,60.0,3029.8342291781046
UPRE2,0.2,60.0,3109.8080219984026
UPRE2,0.5,60.0,3544.0655627255364
UPRE2,1.0,60.0,4092.9891797767286
UPRE2,2.0,60.0,3999.9486070546795
UPRE2,5.0,60.0,3548.6533760035204
UPRE2,0.0,70.0,2965.8626696382107
UPRE2,0.1,70.0,3102.7256781253514
UPRE2,0.2,70.0,3256.4908297041898
UPRE2,0.5,70.0,3691.0119978109356
UPRE2,1.0,70.0,4399.901515462928
UPRE2,2.0,70.0,4366.508707868316
UPRE2,5.0,70.0,3830.671403691933
