construct,dose_mM,elapsed_min,signal
UPRE1,2.0,170.0,6578.165650200102
UPRE1,5.0,170.0,6028.087813553684
UPRE1,0.0,180.0,2989.8101739831777
UPRE1,0.1,180.0,3128.6764099264096
UPRE1,0.2,180.0,3265.0199552552044
UPRE1,0.5,180.0,4271.717068138315
UPRE1,1.0,180.0,5649.7228117735895
UPRE1,2.0,180.0,6734.687586136862
UPRE1,5.0,180.0,6151.419113464252
UPRE1,0.0,190.0,3045.049900737507
UPRE1,0.1,190.0,3222.6249093146675
UPRE1,0.2,190.0,3335.2978722443645
UPRE1,0.5,190.0,4314.376806412205
UPRE1,1.0,190.0,5836.743568191571
UPRE1,2.0,190.0,6931.640782378766
UPRE1,5.0,190.0,6360.987381266452
UPRE1,0.0,200.0,3071.9473847571767
UPRE1,0.1,200.0,3249.7031351127503
UPRE1,0.2,200.0,3433.5439259528016
UPRE1,0.5,200.0,4339.753555957991
UPRE1,1.0,200.0,5869.730666393717
UPRE1,2.0,200.0,7228.619542030938
UPRE1,5.0,200.0,6507.869853239102
UPRE1,0.0,210.0,3106.3871335807867
UPRE1,0.1,210.0,3271.918612145973
UPRE1,0.2,210.0,3448.367128876716
UPRE1,0.5,210.0,4367.880632088159
UPRE1,1.0,210.0,6022.787665099427
UPRE1,2.0,210.0,7339.402503453585
UPRE1,5.0,210.0,6746.28858139875
UPRE1,0.0,220.0,3150.826050963919
UPRE1,0.1,220.0,3386.478387352679
UPRE1,0.2,220.0,3501.3999921022028
UPRE1,0.5,220.0,4462.193889936715
UPRE1,1.0,220.0,6134.857558174353
UPRE1,2.0,220.0,7544.050881776134
UPRE1,5.0,220.0,6895.670757710297
UPRE1,0.0,230.0,3211.495436018459
UPRE1,0.1,230.0,3423.4850452717656
UPRE1,0.2,230.0,3611.4032029687764
UPRE1,0.5,230.0,4487.869582141588
UPRE1,1.0,230.0,6268.064546046643
UPRE1,2.0,230.0,7739.723478964218
UPRE1,5.0,230.0,7059.321201934879
UPRE1,0.0,240.0,3330.626901804389
UPRE1,0.1,240.0,3552.368849547093
UPRE1,0.2,240.0,3755.895416702429
UPRE1,0.5,240.0,4593.4487817180225
UPRE1,1.0,240.0,6399.007563013266
UPRE1,2.0,240.0,7880.280878586127
UPRE1,5.0,240.0,7228.733169964372
UPRE2,0.0,0.0,3258.454106280193
UPRE2,0.1,0.0,3057.116640449974
UPRE2,0.2,0.0,2922.320629808552
UPRE2,0.5,0.0,2577.0678733031673
UPRE2,1.0,0.0,2648.6514816703493
UPRE2,2.0,0.0,2740.2871886567536
UPRE2,5.0,0.0,2770.632474579843
UPRE2,0.0,10.0,3636.2303155781415
UPRE2,0.1,10.0,3206.8414278940595
UPRE2,0.2,10.0,3351.349037393558
UPRE2,0.5,10.0,3209.746917970602
UPRE2,1.0,10.0,2911.328027787926
UPRE2,2.0,10.0,2668.7289769422555
UPRE2,5.0,10.0,2815.881579683392
UPRE2,0.0,20.0,2862.6445488403756
UPRE2,0.1,20.0,3648.8644688644686
UPRE2,0.2,20.0,2962.63363775834
UPRE2,0.5,20.0,3145.1221552878183
UPRE2,1.0,20.0,2974.5951339319977
UPRE2,2.0,20.0,2564.1301907968573
UPRE2,5.0,20.0,2678.197674418605
UPRE2,0.0,30.0,2811.4921979142164
UPRE2,0.1,30.0,3319.3605957591394
UPRE2,0.2,30.0,2749.52104791332
UPRE2,0.5,30.0,3029.1607471717975
UPRE2,1.0,30.0,2877.250766626137
UPRE2,2.0,30.0,2949.8598907632695
UPRE2,5.0,30.0,2721.939877096828
UPRE2,0.0,40.0,3056.9752317521647
UPRE2,0.1,40.0,2863.216710358271
UPRE2,0.2,40.0,3211.0094650018
UPRE2,0.5,40.0,3491.198501872659
UPRE2,1.0,40.0,3263.4597473413264
UPRE2,2.0,40.0,3307.463903120634
UPRE2,5.0,40.0,2964.7535356449694
UPRE2,0.0,50.0,2947.1775658801257
UPRE2,0.1,50.0,2786.339289116561
UPRE2,0.2,50.0,3116.9022683593976
UPRE2,0.5,50.0,3395.7307922336663
UPRE2,1.0,50.0,3475.612485837992
UPRE2,2.0,50.0,3586.6688869420645
UPRE2,5.0,50.0,3101.939600095173
UPRE2,0.0,60.0,2975.115542816227
UPRE2,0.1,60.0,2987.4370925100848
UPRE2,0.2,60.0,3272.9101476805604
UPRE2,0.5,60.0,3711.976160670254
UPRE2,1.0,60.0,3816.3190025636763
UPRE2,2.0,60.0,4036.0318444995864
UPRE2,5.0,60.0,3483.2367795603095
UPRE2,0.0,70.0,3300.0607763396183
UPRE2,0.1,70.0,3403.141507721383
UPRE2,0.2,70.0,3375.7944148701877
UPRE2,0.5,70.0,3916.706000958528
UPRE2,1.0,70.0,4372.701979938282
UPRE2,2.0,70.0,4521.113032025244
UPRE2,5.0,70.0,3993.5726552246156
UPRE2,0.0,80.0,3271.8656176393774
UPRE2,0.1,80.0,3194.4093532586485
UPRE2,0.2,80.0,3510.5952530824634
UPRE2,0.5,80.0,4014.3204410585045
UPRE2,1.0,80.0,4578.663570691435
UPRE2,2.0,80.0,4857.338950993676
UPRE2,5.0,80.0,4313.330857738753
UPRE2,0.0,90.0,3414.043353950286
UPRE2,0.1,90.0,3351.1713200256254
UPRE2,0.2,90.0,3661.2820911840518
UPRE2,0.5,90.0,4404.11440826816
UPRE2,1.0,90.0,5070.77368243879
UPRE2,2.0,90.0,5280.887607874865
UPRE2,5.0,90.0,4659.8143236074275
UPRE2,0.0,100.0,3426.9596654995635
UPRE2,0.1,100.0,3362.592653440499
UPRE2,0.2,100.0,3760.6676113997796
UPRE2,0.5,100.0,4569.713291690194
UPRE2,1.0,100.0,5393.935089470024
UPRE2,2.0,100.0,5713.019766105252
UPRE2,5.0,100.0,5270.15639589169
UPRE2,0.0,110.0,3537.2927096370463
UPRE2,0.1,110.0,3554.7970905527923
UPRE2,0.2,110.0,3926.213220330868
UPRE2,0.5,110.0,4728.108526790304
UPRE2,1.0,110.0,5750.181816749205
UPRE2,2.0,110.0,6129.065705254692
UPRE2,5.0,110.0,5679.479263147062
UPRE2,0.0,120.0,3630.9983625291775
UPRE2,0.1,120.0,3614.958399333724
UPRE2,0.2,120.0,3934.460143355849
UPRE2,0.5,120.0,4848.3518978616885
UPRE2,1.0,120.0,6078.600637409435
UPRE2,2.0,120.0,6555.124668381238
UPRE2,5.0,120.0,6119.194591416814
UPRE2,0.0,130.0,3615.0953570237193
UPRE2,0.1,130.0,3707.933497147227
UPRE2,0.2,130.0,4135.483526737252
UPRE2,0.5,130.0,4983.221282738708
UPRE2,1.0,130.0,6355.534666858373
UPRE2,2.0,130.0,6978.269352133105
UPRE2,5.0,130.0,6501.364771473372
UPRE2,0.0,140.0,3791.2558021221025
UPRE2,0.1,140.0,3882.8446800922825
UPRE2,0.2,140.0,4260.5144334601855
UPRE2,0.5,140.0,5118.414084782507
UPRE2,1.0,140.0,6772.684409038965
UPRE2,2.0,140.0,7443.004170613953
UPRE2,5.0,140.0,6968.574836016695
UPRE2,0.0,150.0,3880.9029859029856
UPRE2,0.1,150.0,3930.186104674685
UPRE2,0.2,150.0,4368.183687255852
UPRE2,0.5,150.0,5228.481369580077
UPRE2,1.0,150.0,7031.972358773401
UPRE2,2.0,150.0,7821.519769690502
UPRE2,5.0,150.0,7435.074647996765
UPRE2,0.0,160.0,3916.1767796863405
UPRE2,0.1,160.0,3941.9449195607444
UPRE2,0.2,160.0,4395.546139645194
UPRE2,0.5,160.0,5390.225888330461
UPRE2,1.0,160.0,7183.210306597551
UPRE2,2.0,160.0,8072.392617659299
UPRE2,5.0,160.0,7791.215351812366
UPRE2,0.0,170.0,4003.0907644904887
UPRE2,0.1,170.0,4098.4145658263305
UPRE2,0.2,170.0,4521.776965813663
UPRE2,0.5,170.0,5413.485619882248
UPRE2,1.0,170.0,7367.27202131978
UPRE2,2.0,170.0,8454.311848402353
UPRE2,5.0,170.0,8276.286460075484
UPRE2,0.0,180.0,4016.7380545269843
UPRE2,0.1,180.0,4087.8981105255393
UPRE2,0.2,180.0,4527.028168700949
UPRE2,0.5,180.0,5414.957975362043
UPRE2,1.0,180.0,7349.754897442205
UPRE2,2.0,180.0,8660.985736407678
UPRE2,5.0,180.0,8479.216398524128
UPRE2,0.0,190.0,4109.052047147893
UPRE2,0.1,190.0,4216.194509108486
UPRE2,0.2,190.0,4668.227175543197
UPRE2,0.5,190.0,5474.318286678204
UPRE2,1.0,190.0,7516.327510666627
UPRE2,2.0,190.0,8898.819283565608
UPRE2,5.0,190.0,8801.43645962737
UPRE2,0.0,200.0,4192.169287315817
UPRE2,0.1,200.0,4291.373287282034
UPRE2,0.2,200.0,4751.721558753065
UPRE2,0.5,200.0,5630.405109592592
UPRE2,1.0,200.0,7640.346122659252
UPRE2,2.0,200.0,9126.500953172612
UPRE2,5.0,200.0,9061.535507104994
UPRE2,0.0,210.0,4270.601685533728
UPRE2,0.1,210.0,4372.650600608358
UPRE2,0.2,210.0,4874.829738831812
UPRE2,0.5,210.0,5710.722508360271
UPRE2,1.0,210.0,7695.002100685876
UPRE2,2.0,210.0,9356.907296340389
UPRE2,5.0,210.0,9352.491132611774
UPRE2,0.0,220.0,4388.119277732424
UPRE2,0.1,220.0,4503.917731131982
UPRE2,0.2,220.0,4970.373368833948
UPRE2,0.5,220.0,5785.210163153435
UPRE2,1.0,220.0,7745.6251549861045
UPRE2,2.0,220.0,9510.544382197017
UPRE2,5.0,220.0,9626.743398896815
UPRE2,0.0,230.0,4483.292685045519
UPRE2,0.1,230.0,4619.993673510103
UPRE2,0.2,230.0,5043.6112487441
UPRE2,0.5,230.0,5832.996716386595
UPRE2,1.0,230.0,7820.236840255816
UPRE2,2.0,230.0,9616.606112141826
UPRE2,5.0,230.0,9773.226566291443
UPRE2,0.0,240.0,4606.609406952965
UPRE2,0.1,240.0,4770.188179409884
UPRE2,0.2,240.0,5221.303557932754
UPRE2,0.5,240.0,5940.1865881032545
UPRE2,1.0,240.0,7909.055048095822
UPRE2,2.0,240.0,9798.28025602429
UPRE2,5.0,240.0,10059.298245614036
NativeYap1,0.0,0.0,315.85638221841054
NativeYap1,0.1,0.0,495.22942145892966
NativeYap1,0.2,0.0,307.2689888727625
NativeYap1,0.5,0.0,345.3164333800726
NativeYap1,1.0,0.0,240.72925282602705
NativeYap1,2.0,0.0,-174.66910484151867
NativeYap1,4.0,0.0,-144.83332298393773
NativeYap1,0.0,10.0,372.09074116832136
NativeYap1,0.1,10.0,653.8087193267176
NativeYap1,0.2,10.0,503.59195402298855
NativeYap1,0.5,10.0,596.3363796697131
NativeYap1,1.0,10.0,248.74561849841703
NativeYap1,2.0,10.0,-69.61469262846383
NativeYap1,4.0,10.0,-81.2458421242706
NativeYap1,0.0,20.0,431.2354312354312
NativeYap1,0.1,20.0,665.0588462280531
NativeYap1,0.2,20.0,649.2831541218638
NativeYap1,0.5,20.0,652.7781539971046
NativeYap1,1.0,20.0,246.157224418094
NativeYap1,2.0,20.0,-383.5541474654378
NativeYap1,4.0,20.0,-248.27789509147456
NativeYap1,0.0,30.0,677.151463234411
NativeYap1,0.1,30.0,970.4819843359201
NativeYap1,0.2,30.0,969.2397794379367
NativeYap1,0.5,30.0,980.4733859778789
NativeYap1,1.0,30.0,389.6679966767576
NativeYap1,2.0,30.0,-190.47659214699888
NativeYap1,4.0,30.0,-264.82412538414593
NativeYap1,0.0,40.0,1001.767808497073
NativeYap1,0.1,40.0,1105.1606947624648
NativeYap1,0.2,40.0,1140.7556240750566
NativeYap1,0.5,40.0,1105.0067819361136
NativeYap1,1.0,40.0,648.8418130749031
NativeYap1,2.0,40.0,-75.34565108094519
NativeYap1,4.0,40.0,-274.2478024736089
NativeYap1,0.0,50.0,897.7312973419002
NativeYap1,0.1,50.0,1387.8406708595387
NativeYap1,0.2,50.0,1200.4263506059108
NativeYap1,0.5,50.0,1110.3035808918162
NativeYap1,1.0,50.0,571.9285814579968
NativeYap1,2.0,50.0,-152.1892184508098
NativeYap1,4.0,50.0,-464.55331188676047
NativeYap1,0.0,60.0,990.5456349206348
NativeYap1,0.1,60.0,1427.0803254599239
NativeYap1,0.2,60.0,1529.3942470572908
NativeYap1,0.5,60.0,1316.0959642881724
NativeYap1,1.0,60.0,750.534188034188
NativeYap1,2.0,60.0,-173.82508558979146
NativeYap1,4.0,60.0,-424.96638447423857
NativeYap1,0.0,70.0,1046.9659049048576
NativeYap1,0.1,70.0,1478.103618360603
NativeYap1,0.2,70.0,1637.285923546033
NativeYap1,0.5,70.0,1466.604310626729
NativeYap1,1.0,70.0,1030.0269070139818
