construct,dose_mM,elapsed_min,signal
UPRE1,2.0,170.0,8144.07904262142
UPRE1,5.0,170.0,7001.274995757754
UPRE1,0.0,180.0,4384.54996187173
UPRE1,0.1,180.0,4574.341046052235
UPRE1,0.2,180.0,4829.121299359364
UPRE1,0.5,180.0,6412.097999545356
UPRE1,1.0,180.0,7682.397217684372
UPRE1,2.0,180.0,8439.413649394135
UPRE1,5.0,180.0,7475.113165202175
UPRE1,0.0,190.0,4482.215975970005
UPRE1,0.1,190.0,4732.602116897729
UPRE1,0.2,190.0,4966.717224628476
UPRE1,0.5,190.0,6597.4656224152195
UPRE1,1.0,190.0,7964.395068418914
UPRE1,2.0,190.0,8732.95801861185
UPRE1,5.0,190.0,7746.170783652798
UPRE1,0.0,200.0,4627.632841491071
UPRE1,0.1,200.0,4934.186805967726
UPRE1,0.2,200.0,5148.99091296444
UPRE1,0.5,200.0,6745.282033012707
UPRE1,1.0,200.0,8227.091673639894
UPRE1,2.0,200.0,9018.779084705086
UPRE1,5.0,200.0,7962.295895859838
UPRE1,0.0,210.0,4783.1142049633145
UPRE1,0.1,210.0,5050.081424185916
UPRE1,0.2,210.0,5285.942939972175
UPRE1,0.5,210.0,6953.748006379586
UPRE1,1.0,210.0,8438.757601238993
UPRE1,2.0,210.0,9166.699313758138
UPRE1,5.0,210.0,8149.105249048247
UPRE1,0.0,220.0,4905.043026020713
UPRE1,0.1,220.0,5176.41069122449
UPRE1,0.2,220.0,5476.17312037184
UPRE1,0.5,220.0,7127.388740237322
UPRE1,1.0,220.0,8659.59328625482
UPRE1,2.0,220.0,9392.197008478075
UPRE1,5.0,220.0,8302.586907082521
UPRE1,0.0,230.0,5040.14320028306
UPRE1,0.1,230.0,5355.208227268099
UPRE1,0.2,230.0,5606.812276298709
UPRE1,0.5,230.0,7299.463339750607
UPRE1,1.0,230.0,8854.971898139693
UPRE1,2.0,230.0,9624.821090528785
UPRE1,5.0,230.0,8438.381955045557
UPRE1,0.0,240.0,5158.12993837322
UPRE1,0.1,240.0,5513.273564617298
UPRE1,0.2,240.0,5799.071994234538
UPRE1,0.5,240.0,7482.837515143988
UPRE1,1.0,240.0,9039.397333750816
UPRE1,2.0,240.0,9800.382622274368
UPRE1,5.0,240.0,8584.823751567938
UPRE2,0.0,0.0,3200.0690523944945
UPRE2,0.1,0.0,3153.4948362697505
UPRE2,0.2,0.0,3082.7506397262896
UPRE2,0.5,0.0,3094.5926320599556
UPRE2,1.0,0.0,3028.1061322044225
UPRE2,2.0,0.0,3190.24876960504
UPRE2,5.0,0.0,2954.518876076398
UPRE2,0.0,10.0,3134.139009139009
UPRE2,0.1,10.0,2888.4589134589137
UPRE2,0.2,10.0,3036.7405582922825
UPRE2,0.5,10.0,2963.3728460126235
UPRE2,1.0,10.0,2943.515227699552
UPRE2,2.0,10.0,3090.7289776164544
UPRE2,5.0,10.0,2719.295470126035
UPRE2,0.0,20.0,2780.058946209773
UPRE2,0.1,20.0,2648.51028154351
UPRE2,0.2,20.0,2397.0884618891746
UPRE2,0.5,20.0,2386.0837438423646
UPRE2,1.0,20.0,2453.2482925975705
UPRE2,2.0,20.0,2360.2627087808614
UPRE2,5.0,20.0,2145.2795561246267
UPRE2,0.0,30.0,2793.4460978200727
UPRE2,0.1,30.0,2479.896925111069
UPRE2,0.2,30.0,2303.048552034615
UPRE2,0.5,30.0,2388.72341439237
UPRE2,1.0,30.0,2517.2590779033067
UPRE2,2.0,30.0,2721.2420799650426
UPRE2,5.0,30.0,2245.731852688374
UPRE2,0.0,40.0,2751.900557833846
UPRE2,0.1,40.0,2788.9594896894164
UPRE2,0.2,40.0,2373.63334484228
UPRE2,0.5,40.0,2471.405765371283
UPRE2,1.0,40.0,2795.2592170660737
UPRE2,2.0,40.0,2862.8310081094587
UPRE2,5.0,40.0,2464.4581705557316
UPRE2,0.0,50.0,2935.9980646201816
UPRE2,0.1,50.0,2878.849537948389
UPRE2,0.2,50.0,2322.5183450429354
UPRE2,0.5,50.0,2698.3865851706237
UPRE2,1.0,50.0,2959.21841462512
UPRE2,2.0,50.0,3186.383820368592
UPRE2,5.0,50.0,2796.271482574237
UPRE2,0.0,60.0,2966.7732908662906
UPRE2,0.1,60.0,3039.120936706788
UPRE2,0.2,60.0,2587.539436064281
UPRE2,0.5,60.0,2865.2091698268737
UPRE2,1.0,60.0,3302.698426613566
UPRE2,2.0,60.0,3562.6112427740172
UPRE2,5.0,60.0,3212.538318508467
UPRE2,0.0,70.0,3112.399692761708
UPRE2,0.1,70.0,3103.4003294650606
UPRE2,0.2,70.0,2610.786633037282
UPRE2,0.5,70.0,3303.9422923641
UPRE2,1.0,70.0,3523.731016458289
UPRE2,2.0,70.0,4018.7913678424484
UPRE2,5.0,70.0,3837.944150593126
UPRE2,0.0,80.0,3129.5582937022627
UPRE2,0.1,80.0,3168.145233205037
UPRE2,0.2,80.0,2728.803090200538
UPRE2,0.5,80.0,3669.2884009166737
UPRE2,1.0,80.0,3871.0207930294987
UPRE2,2.0,80.0,4629.609601345638
UPRE2,5.0,80.0,4238.383413967526
UPRE2,0.0,90.0,3353.9023873007704
UPRE2,0.1,90.0,3461.318602508423
UPRE2,0.2,90.0,3166.9308844946313
UPRE2,0.5,90.0,3999.112630348051
UPRE2,1.0,90.0,4347.947202905998
UPRE2,2.0,90.0,4950.934006177739
UPRE2,5.0,90.0,4363.7866173296325
UPRE2,0.0,100.0,3338.3088790286615
UPRE2,0.1,100.0,3594.6758705035895
UPRE2,0.2,100.0,3194.19961793511
UPRE2,0.5,100.0,4325.248234887175
UPRE2,1.0,100.0,4792.006146290537
UPRE2,2.0,100.0,5495.139622381002
UPRE2,5.0,100.0,4865.169751112495
UPRE2,0.0,110.0,3340.010973856822
UPRE2,0.1,110.0,3526.7012904181042
UPRE2,0.2,110.0,3332.4475994069057
UPRE2,0.5,110.0,4453.562655474215
UPRE2,1.0,110.0,5196.591101669127
UPRE2,2.0,110.0,5951.686196944817
UPRE2,5.0,110.0,5157.961797417463
UPRE2,0.0,120.0,3457.1972273114225
UPRE2,0.1,120.0,3647.7907518287316
UPRE2,0.2,120.0,3499.655932064749
UPRE2,0.5,120.0,4665.570121838122
UPRE2,1.0,120.0,5507.588163470516
UPRE2,2.0,120.0,6377.340718273656
UPRE2,5.0,120.0,5553.203252122676
UPRE2,0.0,130.0,3549.174968290957
UPRE2,0.1,130.0,3817.381231066341
UPRE2,0.2,130.0,3715.1084815038284
